type,ccs_capture_rate,fixed_usdPerTon,capital_usdPerTonPerDay,kWh_perTon,ng_mmbtu_per_tonH2,variable_usdPerTon,utilization,purity,min_h2,max_h2,h2_tax_credit,water_L_perTon,loss_percent
smr-noCCS,0,0,1.33E+12,640,149,90,0.9,low,10,50000,0,37500,0.008
smr-CCS,0.9,0,2000000,1912,153,90,0.9,low,10,50000,0,68900,0.008
