startHub,endHub,road_geometry
chocolateBay,corpusChristi,"LINESTRING (-96.621653 28.584268999999992, -96.647547 28.610395000000008, -96.885115 28.46425599999999, -96.952369 28.281675, -96.98502400000001 28.231350000000006, -97.004368 28.143605999999973, -97.037008 28.090235000000007, -97.041183 28.061767000000014, -97.063099 28.063703999999994, -97.158536 27.92481600000002, -97.265921 27.927323000000005, -97.297574 27.913305000000026, -97.318275 27.881781000000004, -97.38477900000001 27.832895000000022, -97.403232 27.7634)"
mcallen,laredo,"LINESTRING (-98.230081 26.204024999999994, -98.232327 26.189916000000007, -98.333744 26.202223, -98.365364 26.23239699999999, -98.506269 26.247856, -98.557665 26.275266000000023, -98.754624 26.346753000000003, -98.806007 26.378443999999995, -98.874531 26.37288700000002, -98.941539 26.407193999999997, -99.013837 26.403356999999993, -99.029888 26.459796999999995, -99.088431 26.52633400000002, -99.087813 26.61256600000002, -99.127786 26.791129, -99.186227 26.839736000000006, -99.2522 26.864631999999993, -99.265848 26.900018999999997, -99.306194 26.943143999999993, -99.33995800000001 26.951433, -99.387778 27.010152000000026, -99.436614 27.040243000000004, -99.42384 27.105041999999994, -99.421981 27.275187000000027, -99.480186 27.406920000000003, -99.46884700000001 27.502112999999994, -99.474189 27.516772000000007, -99.496852 27.52370100000001)"
tyler,dallas,"LINESTRING (-95.300661 32.351262, -95.301288 32.35964, -95.331912 32.370547, -95.333199 32.38682499999999, -95.387661 32.46888800000001, -95.460475 32.470535999999996, -95.68708 32.51478199999998, -95.902654 32.59769900000001, -96.271644 32.700193, -96.358899 32.73970900000001, -96.447103 32.742282, -96.494253 32.772681999999996, -96.676544 32.799724999999995, -96.759976 32.79078700000001, -96.796749 32.775945)"
leagueCity,brazoria,"LINESTRING (-95.094971 29.507551999999986, -95.128577 29.499841000000004, -95.157473 29.489078000000017, -95.177498 29.494626999999998, -95.188461 29.509218000000022, -95.202127 29.499446999999993, -95.218368 29.482954000000007, -95.22205 29.472070000000016, -95.238855 29.447553, -95.227576 29.431139999999992, -95.228575 29.41849899999999, -95.233969 29.407562000000013, -95.247428 29.39856600000002, -95.291553 29.324467, -95.343273 29.268460999999988, -95.394539 29.203426000000007, -95.401383 29.205090000000016, -95.430868 29.204186000000004, -95.442432 29.197314000000006, -95.461733 29.197293999999996, -95.471238 29.18991100000001, -95.484721 29.190482, -95.49952000000002 29.181846000000014)"
collegeStation,waco,"LINESTRING (-96.30714 30.595494999999985, -96.289458 30.603023999999998, -96.290768 30.612029000000007, -96.350967 30.689762999999992, -96.386054 30.719355999999994, -96.415087 30.720450000000007, -96.48182 30.76443399999999, -96.536891 30.83085299999999, -96.579828 30.86095500000002, -96.603193 30.900085000000022, -96.701282 31.008148000000023, -96.71452 31.126497000000015, -96.789895 31.220958000000007, -96.85507 31.252657000000006, -96.874091 31.277028000000005, -96.874672 31.311589000000016, -96.915302 31.407323999999985, -96.93122000000001 31.494182999999975, -96.95950900000001 31.51705999999999, -97.009515 31.524195999999982, -97.101192 31.560895999999996, -97.124412 31.530299999999993, -97.146778 31.549416999999995)"
portArthur,montBelvieu,"LINESTRING (-93.928811 29.89882, -93.95559 29.920415000000002, -93.988061 29.88459, -94.040047 29.888922999999995, -94.085063 29.85944899999999, -94.239331 29.826214999999998, -94.440329 29.827143999999993, -94.680179 29.840749000000006, -94.75642000000002 29.838750000000008, -94.803409 29.830432999999996, -94.820686 29.865682000000007, -94.841961 29.868033000000022, -94.890783 29.847938000000003)"
centerville,texarkana,"LINESTRING (-95.978528 31.257975999999974, -96.020977 31.378471999999995, -96.075187 31.452064000000004, -95.846569 31.586297999999992, -95.806418 31.64326700000001, -95.763961 31.654358999999992, -95.629635 31.771237999999993, -95.547005 31.898280999999997, -95.47942 32.139770999999996, -95.336559 32.30564799999999, -95.266838 32.31451299999998, -95.269025 32.396207, -95.187046 32.451291999999995, -95.151258 32.5568, -94.944948 32.711703000000014, -94.870447 32.81169500000001, -94.55405500000002 32.89375999999999, -94.183398 33.111077999999985, -94.151162 33.15614, -94.150273 33.33597100000001, -94.077288 33.44683500000002)"
fortWorth,abilene,"LINESTRING (-97.332623 32.75299599999999, -97.364085 32.733085, -97.481375 32.73832899999999, -97.52502000000001 32.72071400000001, -97.570562 32.72144200000002, -97.69948 32.75524199999998, -97.798641 32.727293, -97.88737 32.72586600000001, -98.000189 32.687129999999996, -98.075739 32.62854199999999, -98.170191 32.57349899999999, -98.228634 32.56876900000002, -98.373081 32.513422000000006, -98.533033 32.497975999999994, -98.622106 32.47574299999999, -98.643207 32.45892800000001, -98.834261 32.375688000000004, -99.144677 32.37994300000001, -99.214067 32.37034800000001, -99.68832 32.447039, -99.747886 32.44645199999999)"
channelview,houston,"LINESTRING (-95.114654 29.776139999999984, -95.114666 29.777070999999996, -95.124367 29.776975000000004, -95.124397 29.77848600000001, -95.154145 29.771227999999994, -95.18226100000001 29.77061300000001, -95.200145 29.771671999999995, -95.21879 29.770431000000006, -95.23615500000001 29.773856000000016, -95.252142 29.773839000000002, -95.278971 29.778109000000008, -95.290356 29.778004000000013, -95.301405 29.774423000000006, -95.322711 29.774206000000028, -95.336606 29.769155000000012, -95.350955 29.770164999999995, -95.35967200000002 29.767238000000006, -95.36539400000001 29.769401999999996, -95.367766 29.76496900000001, -95.372114 29.761940000000006, -95.36786300000001 29.758731)"
fortWorth,wichitaFalls,"LINESTRING (-97.332623 32.75299599999999, -97.318272 32.767103999999996, -97.31774 32.88739399999998, -97.419683 32.969644999999964, -97.443298 33.02357900000001, -97.478285 33.051322000000006, -97.471384 33.101288999999994, -97.500301 33.14479700000001, -97.586737 33.21704700000001, -97.680134 33.343636000000004, -97.70281600000001 33.35395800000002, -97.710249 33.379070000000006, -97.773669 33.44957799999999, -97.828337 33.53199799999998, -97.90557 33.584298000000004, -98.03997000000001 33.64912200000003, -98.087788 33.69645499999999, -98.131168 33.767606, -98.214947 33.80711500000001, -98.2225 33.820032, -98.343341 33.86783900000001, -98.47784500000002 33.88639999999999, -98.501791 33.90045599999999)"
