arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
channelview_center_lowPurity,channelview_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,192.8983800000319
channelview_converter_fuelDispenserPipeline,channelview_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,24.00162
channelview_converter_purification,channelview_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,24.00161999996811
channelview_demand_fuelStation,channelview_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,24.0
channelview_demand_lowPurity,channelview_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
channelview_dist_pipelineHighPurity,channelview_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,24.00162
channelview_dist_pipelineLowPurity,channelview_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
channelview_dist_pipelineLowPurity,montBelvieu_dist_pipelineLowPurity,1.0,0.0,3922.6748700177586,2.5878200000000002,999999.0,126.00882000001121
channelview_production_smr-noCCSExisting,channelview_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,216.9
chocolateBay_center_highPurity,chocolateBay_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,20.00161
chocolateBay_center_lowPurity,chocolateBay_converter_purification,1.0,0.0,0.0,0.0,99999999.9,20.00161
chocolateBay_converter_fuelDispenserPipeline,chocolateBay_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,20.00161
chocolateBay_converter_purification,chocolateBay_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,20.00161
chocolateBay_demand_fuelStation,chocolateBay_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,20.0
chocolateBay_dist_pipelineHighPurity,chocolateBay_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,20.00161
chocolateBay_dist_pipelineLowPurity,chocolateBay_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,20.00161
chocolateBay_dist_pipelineLowPurity,corpusChristi_dist_pipelineLowPurity,1.0,141443001.43085757,20817.27516457507,13.611699999999999,999999.0,394.00444000001187
coachellaL_center_highPurity,coachellaL_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,40.00164
coachellaL_center_lowPurity,coachellaL_converter_purification,1.0,0.0,0.0,0.0,99999999.9,40.00164
coachellaL_center_lowPurity,coachellaL_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,71.00317999999999
coachellaL_converter_fuelDispenserPipeline,coachellaL_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,40.00164
coachellaL_converter_purification,coachellaL_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,40.00164
coachellaL_demand_fuelStation,coachellaL_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,40.0
coachellaL_dist_pipelineHighPurity,coachellaL_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,40.00164
coachellaL_dist_pipelineLowPurity,dallas_dist_pipelineLowPurity,1.0,0.0,320322.2645098936,210.49127000000004,999999.0,71.00318
coachellaL_production_smr-noCCSExisting,coachellaL_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,111.00482
collegeStation_center_highPurity,collegeStation_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,639.0044499999448
collegeStation_center_lowPurity,collegeStation_converter_purification,1.0,0.0,0.0,0.0,99999999.9,639.0044499999448
collegeStation_converter_fuelDispenserPipeline,collegeStation_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,589.00161
collegeStation_converter_purification,collegeStation_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,639.0044499999448
collegeStation_demand_fuelStation,collegeStation_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,589.0
collegeStation_dist_pipelineHighPurity,centerville_dist_pipelineHighPurity,1.0,115527194.57401285,17003.042738839653,10.927410000000002,999999.0,50.00283999994478
collegeStation_dist_pipelineHighPurity,collegeStation_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,589.00161
collegeStation_dist_pipelineLowPurity,collegeStation_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,639.0044499999448
corpusChristi_center_highPurity,corpusChristi_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,21.00122000001187
corpusChristi_center_highPurity,corpusChristi_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,19.001620000000003
corpusChristi_center_lowPurity,corpusChristi_converter_purification,1.0,0.0,0.0,0.0,99999999.9,40.00284000001187
corpusChristi_converter_fuelDispenserPipeline,corpusChristi_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,19.00162
corpusChristi_converter_liquefaction,corpusChristi_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,21.00122000001187
corpusChristi_converter_purification,corpusChristi_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,40.00284000001187
corpusChristi_converter_terminalLiquid,corpusChristi_dist_truckLiquefied,3.0,0.0,127.14927787722,0.0,99999999.9,21.00122000001187
corpusChristi_demand_fuelStation,corpusChristi_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,19.0
corpusChristi_dist_pipelineHighPurity,corpusChristi_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,19.00162
corpusChristi_dist_pipelineLowPurity,brownsville_dist_pipelineLowPurity,1.0,272218132.17062974,40064.476183735525,25.85963,999999.0,354.0016
corpusChristi_dist_pipelineLowPurity,corpusChristi_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,40.00284000001187
corpusChristi_dist_truckLiquefied,laredo_dist_truckLiquefied,3.0,0.0,0.0,114.877143,8.0,21.00122000001187
dallas1L_dist_pipelineLowPurity,hutchinsL_dist_pipelineLowPurity,1.0,8796798.47115742,1294.6937811618457,0.86039,999999.0,31.00156999912564
dallas_center_highPurity,dallas_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,40.00159
dallas_center_lowPurity,dallas_converter_purification,1.0,0.0,0.0,0.0,99999999.9,40.00159
dallas_converter_fuelDispenserPipeline,dallas_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,40.00159
dallas_converter_purification,dallas_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,40.00159
dallas_demand_fuelStation,dallas_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,40.0
dallas_dist_pipelineHighPurity,dallas_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,40.00159
dallas_dist_pipelineLowPurity,dallas1L_dist_pipelineLowPurity,1.0,23607662.463976573,3474.5247239768714,2.2895499999999998,999999.0,31.00156999912564
dallas_dist_pipelineLowPurity,dallas_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,40.00159
deerPark_demand_lowPurity,deerPark_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
deerPark_dist_pipelineLowPurity,channelview_dist_pipelineLowPurity,1.0,0.0,2193.190671253302,1.459,999999.0,471.1122399999952
deerPark_dist_pipelineLowPurity,deerPark_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
deerPark_dist_pipelineLowPurity,pasadena_dist_pipelineLowPurity,1.0,0.0,1761.7240923732813,1.17199,999999.0,834.2107099999489
elPaso_demand_lowPurity,elPaso_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
elPaso_dist_pipelineLowPurity,elPaso_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
elPaso_dist_pipelineLowPurity,vanHorn_dist_pipelineLowPurity,1.0,199663284.62769455,29386.010578893216,19.307570000000002,999999.0,2209.0116299999972
eloyL_center_highPurity,eloyL_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,40.00163883589877
eloyL_center_lowPurity,eloyL_converter_purification,1.0,0.0,0.0,0.0,99999999.9,40.00163883589877
eloyL_converter_fuelDispenserPipeline,eloyL_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,40.00164
eloyL_converter_purification,eloyL_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,40.00163883589877
eloyL_demand_fuelStation,eloyL_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,40.0
eloyL_dist_pipelineHighPurity,eloyL_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,40.00164
eloyL_production_smr-noCCSExisting,eloyL_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,40.00179985652125
fairfieldL_dist_truckLiquefied,waco_dist_truckLiquefied,4.0,0.0,0.0,52.659438,8.0,28.00122
fortStocktonL_dist_pipelineLowPurity,odessa_dist_pipelineLowPurity,1.0,160518827.02012604,23624.81393472316,15.56444,999999.0,1671.0098299999995
fortWorth_center_highPurity,fortWorth_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,31.00156999912564
fortWorth_center_lowPurity,fortWorth_converter_purification,1.0,0.0,0.0,0.0,99999999.9,31.00156999912564
fortWorth_converter_fuelDispenserPipeline,fortWorth_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,31.00159
fortWorth_converter_purification,fortWorth_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,31.00156999912564
fortWorth_demand_fuelStation,fortWorth_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,31.0
fortWorth_dist_pipelineHighPurity,fortWorth_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,31.00159
fortWorth_dist_pipelineLowPurity,fortWorth_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,31.00156999912564
freeport_center_lowPurity,freeport_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
freeport_demand_lowPurity,freeport_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
freeport_dist_pipelineLowPurity,freeport_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
freeport_production_smr-noCCSExisting,freeport_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.8
houston_dist_pipelineLowPurity,sanAntonio_dist_pipelineLowPurity,1.0,0.0,47870.66202041473,31.530230000000003,999999.0,73.00283999998813
houston_dist_pipelineLowPurity,wallerL_dist_pipelineLowPurity,1.0,71399603.80280207,10508.439328694183,6.88317,999999.0,657.0060699999448
hutchinsL_dist_pipelineLowPurity,midlothianL_dist_pipelineLowPurity,1.0,46025203.94121758,6773.890014051876,4.4938400000000005,999999.0,31.00156999912564
killeen_converter_fuelDispenserLiquid,killeen_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,28.00122
killeen_demand_fuelStation,killeen_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,28.0
killeen_dist_truckLiquefied,killeen_converter_fuelDispenserLiquid,4.0,0.0,0.0,0.0,8.0,28.00122
laPorte_center_lowPurity,laPorte_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,1108.7412399999678
laPorte_demand_lowPurity,laPorte_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
laPorte_dist_pipelineLowPurity,deerPark_dist_pipelineLowPurity,1.0,14282687.852457827,2102.0951203421137,1.35623,999999.0,1843.32474999996
laPorte_dist_pipelineLowPurity,laPorte_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0018000000159
laPorte_production_smr-noCCSExisting,laPorte_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,1108.741239999934
laredo_converter_fuelDispenserLiquid,laredo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,21.00122
