startHub,endHub,exist_pipeline
7992,6740,1
6784,6932,1
5966,6784,1
4287,4306,1
4524,4507,1
4395,4388,1
3700,4122,1
71843,4205,1
71843,71769,1
104199,71686,1
99923,104199,1
97978,95899,1
97978,107687,1
96087,97689,1
107575,104301,1
107575,107195,1
96241,102642,1
3700,4524,1
96241,102826,1
97671,105243,1
107195,107575,1
10795,13756,1
102826,96241,1
107575,107195,1
110122,107575,1
96359,107687,1
107010,107644,1
96241,96675,1
107010,103399,1
107706,103399,1
107700,105567,1
21,97671,1
7080,11873,1
