producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,prod_water_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,prod_water,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
alamedaCA_production_smr-CCS,14.000639651501821,0.9,12.60057568635164,8854.541260200449,0.0,1134.0518117716476,4490.804852773528,26469.903338562028,1605.43783612898,0.0,0.8999999999999998,0.9,0.9,11.340518117716476,24092.300712304335,1927.8880800118009,868179.664789628,0.0,11.340518117716472,0.0,102.06466305944828,0.0,42554.73909943663
libertyTX_production_smr-CCS,13.997531996691432,0.9,12.59777879702229,5591.414613794817,0.0,1133.8000917320062,1589.7389019538368,4760.826585182694,917.2018196966469,0.0,0.8999999999999998,0.9,0.9,11.33800091732006,24086.953059906617,1927.4601559444104,867986.9591148357,0.0,11.338000917320059,0.0,102.04200825588056,0.0,13992.982012360002
