producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,prod_water_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,prod_water,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
102098_production_smr-low,1449.5441592623454,0.9,1304.5897433361108,1024180.0703741814,91321.28203352775,117413.07690024997,232947.54457009595,810150.2306117248,23482.615380049996,0.0,3.6,0.6,0.6,782.7538460016665,1941229.5380841328,195688.46150041663,7827538.460016665,0.0,4696.523076009999,0.0,7044.784614014999,352239.2307007499,1855934.3071355522
102557_production_smr-low,497.816959572207,0.9,448.0352636149863,351734.16789701825,31362.46845304904,40323.173725348766,80001.17667109196,278229.8987049065,8064.634745069754,0.0,3.6,0.6,0.6,268.82115816899176,666676.4722590996,67205.28954224795,2688211.581689918,0.0,1612.926949013951,0.0,2419.390423520926,120969.5211760463,637383.5305673889
102826_production_smr-low,374.8074063237117,0.9,337.3266656913405,264821.3739005579,23612.866598393837,30359.399912220644,60233.04942584576,209479.85939432247,6071.879982444129,0.0,3.6,0.6,0.6,202.3959994148043,501942.0785487147,50598.999853701076,2023959.994148043,0.0,1214.3759964888259,0.0,1821.5639947332388,91078.19973666195,479887.362878729
106128_production_smr-low,286.78958873260564,0.9,258.11062985934507,202632.10285377927,18067.744090154156,23229.956687341055,46088.23406768466,160286.7011426533,4645.991337468211,0.0,3.6,0.6,0.6,154.86637791560705,384068.61723070545,38716.59447890176,1548663.7791560704,0.0,929.1982674936422,0.0,1393.7974012404632,69689.87006202315,367193.1160269033
dallasTX_production_smr-low,487.91584382687313,0.9,439.12425944418584,317536.6423791044,28313.237206507398,39521.18334997672,91478.3657274128,277105.16407196753,6323.389335996276,0.0,3.6,0.6,0.6,263.4745556665115,653416.8980529485,65868.63891662788,2634745.556665115,0.0,1580.847333999069,0.0,2371.271000998603,118563.55004993016,613401.1948145276
jeffDavisTX_production_smr-highExisting,200.0,0.9,180.0,170547.32515471752,0.0,16200.0,48182.4,116406.38479932,2591.9999999999995,124020.0,0.8999999999999998,0.9,0.9,0.0,344160.0,27540.0,1080000.0,102060.0,161.99999999999997,0.0,1458.0000000000002,72900.00000000001,259068.1099540376
losAngelesCA_production_smr-low,681.0136157407409,0.9,612.9122541666668,443669.38942494325,39559.896363259366,55162.10287500001,127681.88078800004,386182.97924232134,12135.662632500003,0.0,3.6,0.6,0.6,367.7473525000001,912013.4342000003,91936.83812500002,3677473.525000001,0.0,2206.4841150000007,0.0,3309.7261725000008,165486.30862500003,859345.7063377646
