startHub,endHub,road_geometry
texarkana,fortWorth,"LINESTRING (-94.077288 33.446834999999986, -94.26712400000001 33.476600999999995, -94.444714 33.47596199999999, -94.52475 33.44033699999999, -94.713201 33.299201999999994, -94.785991 33.28742899999999, -94.916209 33.19993600000001, -95.03651 33.158505999999974, -95.390597 33.16626699999997, -95.561362 33.144774000000005, -95.595235 33.116429, -96.072877 33.13579, -96.257695 32.98839399999999, -96.330294 32.970158999999974, -96.677811 32.79939000000002, -96.845799 32.764036999999995, -97.332623 32.752995999999996)"
texarkana,centerville,"LINESTRING (-94.077288 33.446834999999986, -94.150725 33.335279000000014, -94.151162 33.15614000000001, -94.184077 33.11123000000001, -94.55405500000002 32.89376000000001, -94.870447 32.811695000000014, -94.94548699999999 32.712101000000004, -95.151058 32.55703000000001, -95.187046 32.451291999999995, -95.269268 32.396219, -95.267034 32.314512000000015, -95.33614700000001 32.30619300000001, -95.47942 32.13977100000001, -95.547366 31.898312000000004, -95.623124 31.78143100000002, -95.65600800000001 31.771443000000016, -95.654697 31.745364, -95.763845 31.654687999999997, -95.80641800000001 31.64326700000001, -95.846569 31.586298, -96.076925 31.450075000000012, -96.02188500000001 31.379725999999998, -95.97871 31.257822999999995)"
lubbock,amarillo,"LINESTRING (-101.879121 33.56352399999999, -101.855367 33.563323, -101.835414 33.62839499999998, -101.85338900000002 34.04647700000002, -101.749942 34.12942100000001, -101.74938600000002 34.19680300000001, -101.708384 34.237081, -101.776408 34.383464000000004, -101.793432 34.57990399999998, -101.847196 34.72132899999998, -101.848739 34.943046999999986, -101.918662 35.02407699999999, -101.908786 35.11801299999997, -101.841333 35.178277, -101.833821 35.20723400000001)"
fortWorth,wichitaFalls,"LINESTRING (-97.332623 32.752995999999996, -97.318272 32.76710399999998, -97.31774 32.887394, -97.419683 32.96964500000001, -97.443298 33.023579000000005, -97.47831400000001 33.05142199999999, -97.471384 33.10128900000003, -97.500301 33.14479699999998, -97.586737 33.21704699999998, -97.680134 33.34363599999999, -97.70281600000001 33.35395799999999, -97.710249 33.379070000000006, -97.773669 33.449578, -97.828337 33.53199800000001, -97.90557 33.58429800000001, -98.03997000000001 33.64912200000003, -98.087788 33.69645499999997, -98.131168 33.76760600000001, -98.214947 33.80711500000003, -98.2225 33.820032000000005, -98.343341 33.86783899999999, -98.47784500000002 33.88639999999999, -98.501791 33.90045600000001)"
laPorte,texasCity,"LINESTRING (-95.01933 29.665777, -95.02976400000001 29.665283999999996, -95.02987 29.63690399999999, -95.03442 29.623813999999996, -95.022704 29.545574, -94.975731 29.467116000000015, -94.95159 29.39525900000001, -94.917387 29.39322700000001, -94.91739 29.390298999999985)"
abilene,fortWorth,"LINESTRING (-99.747886 32.446452, -99.688378 32.446905, -99.2143 32.37015400000001, -99.144135 32.379711000000015, -98.834201 32.375488, -98.643312 32.458664999999996, -98.621867 32.47563300000001, -98.532953 32.497779, -98.372783 32.513228999999995, -98.228545 32.56851700000001, -98.17028000000002 32.573183, -98.076005 32.62802800000003, -97.997589 32.687757000000026, -97.886562 32.725876999999976, -97.798233 32.727156999999984, -97.70003 32.75505299999999, -97.571621 32.721442, -97.524273 32.720491999999986, -97.480344 32.73815800000001, -97.364609 32.732769999999995, -97.332623 32.752995999999996)"
corpusChristi,laredo,"LINESTRING (-97.403232 27.7634, -97.44027 27.786035000000005, -97.634022 27.783285000000003, -97.654411 27.785836999999997, -97.658936 27.798757000000002, -97.766255 27.811461999999995, -97.933626 27.777179, -98.021236 27.78093900000001, -98.064711 27.750917000000012, -98.088948 27.74609499999999, -98.202611 27.75599300000003, -98.402419 27.801681000000013, -98.583859 27.882502000000002, -98.638645 27.882421999999995, -98.747724 27.843599000000008, -98.79900600000002 27.794387, -98.984831 27.714652999999988, -99.160462 27.658484, -99.261651 27.59574499999999, -99.395583 27.560117, -99.433292 27.52861499999999, -99.492709 27.530579999999986, -99.496852 27.523700999999985)"
chocolateBay,corpusChristi,"LINESTRING (-96.621653 28.584268999999978, -96.647547 28.610395000000008, -96.885115 28.464256000000002, -96.952369 28.28167499999999, -96.98502400000001 28.231350000000006, -97.004368 28.143606000000016, -97.037008 28.09023500000001, -97.041183 28.061767000000003, -97.063099 28.063704000000005, -97.158536 27.924816000000003, -97.265921 27.927323000000005, -97.297574 27.913305, -97.318275 27.881781000000014, -97.38477900000001 27.832895, -97.403232 27.7634)"
sanJacinto,collegeStation,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.51350800000002, -95.204414 30.511037, -95.20628 30.52252199999998, -95.217979 30.525238, -95.235021 30.54266300000001, -95.238821 30.561128000000014, -95.29711000000002 30.543121999999975, -95.33283 30.524170000000005, -95.386013 30.523048000000003, -95.456085 30.535493000000017, -95.468914 30.53151699999999, -95.483592 30.537606000000014, -95.495577 30.546271, -95.501704 30.564164000000023, -95.511189 30.660941, -95.520808 30.67686399999999, -95.552371 30.693864000000005, -95.569034 30.718306000000005, -95.586347 30.717268999999995, -95.617073 30.700774, -95.703349 30.68452300000001, -95.74992 30.684148999999987, -95.833735 30.658187, -95.881276 30.627940000000038, -95.886851 30.613799000000014, -95.91678300000001 30.599538, -95.93679900000001 30.58394900000002, -96.031312 30.595613999999998, -96.088113 30.594674999999985, -96.10787 30.602072999999976, -96.136835 30.605051000000003, -96.172492 30.603530999999997, -96.203622 30.621806999999993, -96.223767 30.589366000000012, -96.257245 30.559833000000015, -96.301052 30.600843999999995, -96.30714 30.595494999999985)"
channelview,montBelvieu,"LINESTRING (-95.114654 29.776139999999998, -95.114443 29.776999999999994, -95.115965 29.777058, -95.116042 29.780793999999997, -95.10909000000001 29.784040999999984, -95.071694 29.795015999999997, -95.066994 29.794915, -95.056259 29.79052900000002, -95.051447 29.79048, -95.025976 29.799516000000004, -95.009561 29.80024900000003, -94.942094 29.811395999999984, -94.918586 29.821065, -94.899225 29.820888000000004, -94.894756 29.83697400000001, -94.895436 29.847546999999995, -94.890783 29.847937999999996)"
