startHub,endHub,road_geometry
coconinoAZ,pinalAZ,"LINESTRING (-111.763491 35.83494299999999, -112.130979 35.803651999999985, -112.177527 35.47723700000001, -112.15152600000002 35.259886000000016, -111.851873 35.247392000000005, -111.666614 35.172768, -111.685468 34.97429300000002, -111.598037 34.80363399999999, -111.911516 34.539720999999986, -111.979354 34.531818, -112.116662 34.362821000000004, -112.151146 34.12862599999998, -112.108209 33.43255700000002, -111.969728 33.406275999999984, -111.968576 33.28197800000001, -111.754425 33.00096400000003, -111.38819 33.01956500000001, -111.299291 32.92238600000002, -111.348312 32.914475)"
coconinoAZ,mckinleyNM,"LINESTRING (-111.763491 35.83494299999999, -111.788117 35.83956700000002, -111.801584 35.87974499999999, -111.784459 35.895681, -111.72466 35.897269999999985, -111.700593 35.939674, -111.572394 35.92017499999997, -111.479197 35.85926100000001, -111.425239 35.854960999999996, -111.504363 35.69075999999999, -111.554749 35.492764999999984, -111.580906 35.38164499999998, -111.542979 35.323927, -111.542303 35.282336000000015, -111.581627 35.215718, -111.408947 35.202027000000015, -111.164522 35.12234699999999, -110.914725 35.09130100000001, -110.693466 35.038712999999994, -110.67406 35.017604, -110.523489 34.97484200000002, -110.316527 34.954750000000004, -110.243707 34.91252000000001, -110.192914 34.90492400000002, -110.144165 34.917829999999995, -110.084569 34.97412, -109.88015 35.00532399999998, -109.768667 35.06600500000002, -109.604682 35.10619299999999, -109.44970500000001 35.185922000000005, -109.340133 35.21229199999999, -109.25418400000001 35.27751600000001, -109.177881 35.280186000000015, -109.120722 35.304333, -108.932946 35.469053000000024, -108.762022 35.527837999999996, -108.598775 35.528905, -108.224404 35.396173, -108.152433 35.42078499999999, -108.132769 35.53109900000001, -108.200948 35.532864000000004, -108.254599 35.56152800000001, -108.231847 35.574386000000004, -108.256281 35.582342999999995)"
dallasTX,nacogdochesTX,"LINESTRING (-96.774342 32.77359400000002, -96.760339 32.79050000000003, -96.675385 32.79911900000001, -96.495404 32.772725, -96.44763200000001 32.742255, -96.358872 32.73957200000003, -96.271862 32.69992299999998, -95.903186 32.597625999999984, -95.687281 32.514646, -95.461753 32.470570000000016, -95.346421 32.468394999999994, -95.277353 32.451994000000006, -95.199876 32.452241, -95.121687 32.43772299999998, -95.068122 32.44197399999999, -94.926607 32.432017000000016, -94.881016 32.380128, -94.869063 32.379560000000005, -94.868535 32.28687800000002, -94.855772 32.24384900000001, -94.838213 32.212456999999986, -94.788302 32.17166199999999, -94.790981 32.14527700000001, -94.683268 31.925827999999978, -94.67822 31.70818, -94.655953 31.652017999999998, -94.616811 31.64249600000001, -94.614162 31.619784000000003)"
laSalleTX,sanPatricioTX,"LINESTRING (-99.11058800000002 28.332964000000008, -99.0496 28.273029, -99.030372 28.202088999999994, -98.778504 28.20229299999998, -98.58728500000001 28.133245000000013, -98.538737 28.131967999999993, -98.492429 28.106140999999997, -98.196833 28.100772000000013, -98.04115 27.978851999999982, -97.976838 27.97785200000002, -97.902057 27.93809400000001, -97.677924 27.860000000000003, -97.629714 27.856002999999998, -97.621975 27.86499500000001, -97.629532 27.90572599999999, -97.523408 28.017715000000013, -97.52155200000001 28.006660999999994, -97.511316 28.006486999999975)"
libertyTX,caldwellTX,"LINESTRING (-94.815759 30.15628899999999, -94.868254 30.176666000000004, -94.88804000000002 30.156959, -94.857919 30.100475000000007, -94.886274 30.046520999999984, -95.032559 29.93670499999999, -95.077284 29.873062, -95.198847 29.82286099999998, -95.258415 29.77519300000002, -96.12232 29.775790000000026, -96.542557 29.692029999999995, -97.240115 29.692607000000006, -97.296843 29.669885, -97.488961 29.649511000000007, -97.593308 29.65315900000001, -97.64756 29.68051400000001, -97.668488 29.861559000000007, -97.626413 29.841661999999996)"
millsTX,caldwellTX,"LINESTRING (-98.59053000000002 31.499651999999973, -98.558216 31.40061800000001, -98.380079 31.193141000000004, -98.311395 31.139119000000004, -98.188152 31.083953, -98.176772 31.052152999999986, -98.104297 30.993182, -97.921134 30.882898000000008, -97.87706 30.774884999999998, -97.879041 30.659634999999994, -97.819915 30.554674999999996, -97.790403 30.447871, -97.748533 30.42326600000001, -97.712705 30.347784000000026, -97.662966 30.315109000000007, -97.69107 30.246923000000002, -97.692798 30.06394099999998, -97.678066 29.899788000000004, -97.658378 29.856239000000002, -97.626413 29.841661999999996)"
sutterCA,fresnoCA,"LINESTRING (-121.688215 39.03444299999999, -121.689681 39.00353400000001, -121.62680100000001 38.99735299999998, -121.606097 38.916922, -121.54454000000001 38.852605, -121.540103 38.666742000000006, -121.50435 38.59877300000001, -121.512049 38.56766799999999, -121.475221 38.557967000000005, -121.263897 38.20727200000002, -121.25787500000001 38.00396000000002, -121.216642 37.82320500000001, -121.185995 37.77956899999999, -121.027649 37.663276999999994, -120.893422 37.538187, -120.86286700000001 37.480533999999984, -120.803906 37.45550700000002, -120.736276 37.390024000000004, -120.43755 37.27464100000002, -119.816641 36.74003700000001, -119.64114600000002 36.754946999999994)"
mckinleyNM,cochiseAZ,"LINESTRING (-108.256281 35.582342999999995, -108.200948 35.532864000000004, -108.132769 35.53109900000001, -108.152433 35.42078499999999, -108.22431500000002 35.39677999999999, -108.598147 35.529002999999996, -108.762815 35.52779399999999, -108.933421 35.469117, -109.106764 35.310742000000005, -109.261557 35.275581, -109.339715 35.212810999999995, -109.880076 35.00570600000002, -110.084729 34.974415, -110.157719 34.910853000000024, -110.082732 34.571495000000006, -110.095227 34.436588, -110.018078 34.25719500000001, -110.108171 34.13036400000002, -110.506758 33.799968, -110.575459 33.640830000000015, -110.691965 33.547667999999994, -110.765495 33.39227600000002, -110.279437 33.25331500000003, -109.96106000000002 33.035019000000005, -109.90591500000001 32.94004500000001, -109.707735 32.83436400000001, -109.662868 32.39805500000002, -109.831325 32.251982000000005, -109.756198 32.19529799999999, -109.750757 31.90551400000002)"
mckinleyNM,sanMiguelNM,"LINESTRING (-108.256281 35.582342999999995, -108.231847 35.574386000000004, -108.254599 35.56152800000001, -108.200948 35.532864000000004, -108.132769 35.53109900000001, -108.144346 35.427131, -108.224404 35.396173, -108.01205 35.34636299999998, -107.978222 35.264410000000005, -107.89730500000002 35.166326, -107.757872 35.07515800000001, -107.699218 35.061758000000026, -107.538015 35.073369000000014, -107.454243 35.02829800000001, -107.361309 35.038726, -107.298213 34.99443999999999, -107.13532 34.977837, -106.79564 35.06127699999999, -106.70417 35.10653700000001, -106.629057 35.104666000000016, -106.590218 35.146209999999996, -106.532103 35.320456, -106.452012 35.39229299999999, -106.24072600000001 35.508679, -106.165559 35.52208500000001, -106.026625 35.610789000000004, -105.95005500000002 35.63637200000001, -105.92644600000001 35.63337500000001, -105.86085600000001 35.538658999999996, -105.774967 35.59049799999999, -105.75063800000001 35.56080199999999, -105.709568 35.54930499999999, -105.668933 35.48143999999999, -105.60038 35.43121300000001, -105.461341 35.396920000000016, -105.319995 35.39694000000001, -105.207828 35.595282, -105.182258 35.601545, -104.919401 35.601023000000005, -104.902061 35.505389, -104.844207 35.46682800000001, -104.800111 35.488268)"
chavesNM,lubbockTX,"LINESTRING (-104.455951 33.368514, -104.46091900000002 33.394326, -104.36534700000001 33.39618, -104.193206 33.421268, -103.814229 33.41797300000001, -103.75112 33.408776, -103.373728 33.25742499999999, -103.05731 33.256982999999984, -103.00856000000002 33.241131, -102.905355 33.24072400000001, -102.835861 33.189389, -102.81302 33.18233500000001, -102.275032 33.17923900000001, -102.273212 33.200559000000005, -102.182305 33.38256000000003, -102.147781 33.425353, -102.030451 33.49761100000001, -102.00565100000001 33.50366599999999, -101.989442 33.522723, -101.877461 33.591775000000005, -101.818172 33.592794000000005, -101.820146 33.612808000000015)"
sierraNM,jeffDavisTX,"LINESTRING (-107.18572 33.13097699999999, -107.190803 33.151709999999994, -107.219685 33.14975900000002, -107.299244 33.11396299999999, -107.30688900000001 33.092330000000004, -107.318838 32.906548000000015, -107.293051 32.87338000000001, -107.284506 32.803480999999984, -107.177502 32.68709299999997, -107.008688 32.67073999999999, -106.960771 32.62479400000001, -106.897891 32.485524000000005, -106.77659500000001 32.35785999999999, -106.642756 32.132013000000015, -106.583187 32.011326, -106.569441 31.836370000000013, -106.523262 31.806982999999985, -106.503484 31.760417999999994, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.708583 31.177596999999963, -105.531046 31.193054999999973, -105.484449 31.217500000000012, -104.88752800000002 31.036633000000005, -104.41399 31.073448999999993, -104.216983 31.06611199999999, -104.148109 30.92270699999999, -104.16787500000001 30.78852400000001, -104.13918900000002 30.715475999999995)"
dallasTX,libertyTX,"LINESTRING (-96.774342 32.77359400000002, -96.7473 32.685532999999964, -96.708196 32.649977, -96.659719 32.54682199999999, -96.646897 32.377291, -96.598393 32.311780999999996, -96.511173 32.26986499999999, -96.474319 32.20015300000002, -96.439384 32.089906, -96.452618 32.062308999999985, -96.424283 31.931789999999985, -96.309482 31.859292000000003, -96.181614 31.729890999999995, -96.147409 31.577344000000014, -96.021241 31.378392000000005, -95.987244 31.271052, -95.99692500000002 31.210487999999994, -95.976068 31.123496000000024, -95.90107 30.984312000000013, -95.519246 30.674930000000003, -95.478576 30.420476999999988, -95.378621 30.374450999999997, -95.339949 30.333049999999997, -95.1873 30.31635099999999, -95.0899 30.343072999999997, -94.997706 30.31957000000001, -94.965139 30.234772999999993, -94.925497 30.232060999999998, -94.90061200000001 30.177604000000017, -94.838071 30.17683999999999, -94.815759 30.15628899999999)"
alamedaCA,14295,"LINESTRING (-121.87734400000001 37.64303000000002, -121.88139300000002 37.64485100000001, -121.87948100000001 37.654729, -121.86245499999998 37.668969000000004, -121.80405600000002 37.67617200000001, -121.804434 37.674285, -121.805455 37.69601500000001, -121.801414 37.700283, -121.78705600000002 37.69942699999998, -121.760469 37.70274800000001, -121.74019499999999 37.702504, -121.704689 37.71679300000002, -121.680976 37.721757999999994, -121.664711 37.718037, -121.637133 37.726659000000005, -121.62805900000001 37.73341200000002, -121.58029900000001 37.741177, -121.54995 37.743517, -121.49700200000001 37.74069200000002, -121.44035799999999 37.762599, -121.354466 37.76486600000001, -121.32802099999999 37.768283, -121.30140800000001 37.78958100000003, -121.27768800000001 37.870846, -121.279243 37.884869000000016, -121.29689200000001 37.93397899999999, -121.29837200000001 37.946809, -121.27106100000002 37.95399000000001)"
millsTX,kinneyTX,"LINESTRING (-98.59053000000002 31.499651999999973, -98.567535 31.446438999999994, -98.617799 31.428051999999997, -98.672586 31.359655000000032, -98.673675 31.299731999999995, -98.718417 31.195835999999996, -98.875405 31.230816000000004, -98.942631 31.269897999999987, -99.20203 31.23264800000003, -99.273709 31.157007999999973, -99.334723 31.14620600000004, -99.385362 31.038657000000004, -99.782496 30.939695999999984, -99.788039 30.905921000000014, -99.763882 30.87739400000002, -99.788554 30.619307, -99.764709 30.53292800000001, -99.781431 30.481508999999992, -99.888983 30.391737999999993, -99.91043 30.291006000000007, -100.02114 30.221784000000014, -100.110552 30.09552, -100.406454 29.891300999999995, -100.399645 29.811996000000008, -100.420179 29.794899, -100.394163 29.742066999999995, -100.426923 29.71999799999999, -100.431146 29.662220999999995, -100.393184 29.50547699999999, -100.417834 29.46275600000002, -100.406477 29.339513000000007, -100.422247 29.348015000000007)"
schleicherTX,kinneyTX,"LINESTRING (-100.541903 30.896951999999995, -100.621622 30.837495000000008, -100.643689 30.566653999999996, -100.704952 30.435300000000005, -100.651279 30.338871999999995, -100.646081 30.28319800000001, -100.698464 30.10510900000001, -100.76664 29.968463999999994, -100.770959 29.895288999999988, -100.865369 29.652128999999995, -100.866676 29.592021, -100.914414 29.502289, -100.908797 29.444130000000015, -100.875875 29.441392000000004, -100.819014 29.36813700000001, -100.723461 29.392877000000006, -100.418663 29.309276999999994, -100.406477 29.339513000000007, -100.422247 29.348015000000007)"
trinityCA,sutterCA,"LINESTRING (-123.100329 40.641175, -123.13379300000001 40.64573299999998, -123.10732300000001 40.658355999999976, -123.097414 40.694647, -123.09083399999999 40.681083999999984, -123.034569 40.691114000000006, -123.063164 40.72803899999998, -122.97229399999999 40.746410999999995, -122.924295 40.71206699999999, -122.94079800000002 40.651391000000004, -122.830811 40.675294, -122.749529 40.65264700000001, -122.73640400000001 40.633802, -122.69786700000002 40.66951499999999, -122.666776 40.67414099999998, -122.62046099999999 40.65046299999999, -122.5824 40.652212000000006, -122.48160300000002 40.591007, -122.36126900000001 40.582968, -122.34277600000001 40.512541999999996, -122.289611 40.448010000000004, -122.278866 40.28883700000001, -122.224863 40.15596899999997, -122.142886 40.041863000000006, -122.09989700000001 40.02798599999999, -122.069012 39.961065000000005, -121.69333200000001 39.620614000000025, -121.68771700000002 39.34637999999999, -121.63512 39.199842000000004, -121.63341500000001 39.070233, -121.68961299999998 39.06889700000001, -121.688215 39.03444299999999)"
libertyTX,100467,"LINESTRING (-94.815759 30.15628899999999, -94.812437 30.164767, -94.824066 30.16513299999999, -94.838071 30.17683999999999, -94.864787 30.17722099999999, -94.868145 30.167101, -94.88804000000002 30.156959, -94.868643 30.113505000000007, -94.85932 30.108362999999976, -94.862502 30.08178500000002, -94.877218 30.069701000000013, -94.886274 30.046520999999984, -95.033196 29.93608800000003, -95.06475 29.88289, -95.081212 29.87067700000002, -95.127976 29.853301999999978, -95.123957 29.779002000000016)"
laPazAZ,cochiseAZ,"LINESTRING (-113.940498 33.729476000000005, -113.94001 33.768069, -113.922609 33.76813599999999, -113.92284500000001 33.685301000000024, -113.76747 33.718289999999996, -113.76722 33.628691, -113.172786 33.54123700000002, -112.624184 33.427254999999995, -112.497259 33.462292999999995, -112.039325 33.46142299999999, -112.03663800000001 33.42800400000002, -111.968246 33.403761999999986, -111.968576 33.28197800000001, -111.690039 32.923606, -111.681693 32.816607, -111.379395 32.63790500000001, -111.261688 32.494445, -111.054344 32.325904, -110.98641300000001 32.24180100000001, -110.973035 32.188596000000004, -110.67786 32.000769000000005, -110.449261 31.962935000000005, -110.306949 31.978395000000003, -110.259448 31.965115000000004, -110.125633 32.011126999999995, -110.092216 32.04246400000001, -110.037873 32.027837999999996, -109.878962 32.035965, -109.814503 31.908517, -109.750757 31.90551400000002)"
nacogdochesTX,libertyTX,"LINESTRING (-94.614162 31.619784000000003, -94.624543 31.58080900000002, -94.671991 31.577304000000023, -94.726 31.476501000000003, -94.726715 31.429505000000006, -94.69017 31.331025000000004, -94.70085 31.31771499999999, -94.727001 31.30990899999999, -94.731163 31.283956999999972, -94.766229 31.232630999999994, -94.75521400000001 31.191557999999997, -94.80847 31.139433000000025, -94.825759 31.056785999999992, -94.826664 30.910588999999998, -94.875747 30.802166999999997, -94.952454 30.717459000000012, -94.946195 30.577173, -94.997138 30.484221000000023, -95.016447 30.470277000000006, -95.090187 30.353065, -95.0899 30.343072999999997, -95.069158 30.340159000000014, -95.042241 30.320505000000004, -94.992535 30.316129000000004, -94.965139 30.234772999999993, -94.925497 30.232060999999998, -94.90061200000001 30.177604000000017, -94.838071 30.17683999999999, -94.812437 30.164767, -94.815759 30.15628899999999)"
sanBernardinoCA,losAngelesCA,"LINESTRING (-116.219216 34.88901000000001, -116.321296 34.83350699999999, -116.38943 34.77769499999999, -116.67242300000001 34.82762900000001, -116.854901 34.84792100000001, -116.952625 34.86815599999999, -116.99268 34.88641500000001, -117.062608 34.883019999999995, -117.081775 34.86487300000002, -117.099123 34.808203999999996, -117.194585 34.721914, -117.21275500000002 34.68783299999999, -117.216699 34.646623, -117.31086599999999 34.53848999999999, -117.34023900000001 34.478152, -117.440721 34.353393, -117.48168499999998 34.342977000000005, -117.48094300000001 34.31877999999998, -117.452193 34.29069800000001, -117.449361 34.25453700000002, -117.41021099999999 34.221954, -117.42118100000002 34.193819, -117.498758 34.137136, -117.672921 34.134782, -117.700756 34.12031099999999, -117.86054 34.117186000000004, -118.00729299999999 34.13574400000002, -118.032728 34.14814499999999, -118.154008 34.152011999999985, -118.15897 34.17357, -118.189519 34.201948, -118.229584 34.21266199999999, -118.302704 34.25911000000001, -118.303324 34.2739, -118.27872999999998 34.298224000000005, -118.261828 34.305034999999975, -118.23886500000002 34.296042000000014)"
baylorTX,dallasTX,"LINESTRING (-99.210454 33.61036299999999, -99.2337 33.61062799999999, -99.240638 33.59579100000002, -99.24013200000002 33.61861900000002, -99.146472 33.66821899999999, -99.081083 33.68592200000002, -98.980983 33.69189299999999, -98.91802 33.73212800000001, -98.71659 33.80819399999998, -98.647742 33.85438800000002, -98.603735 33.87075700000001, -98.56726900000001 33.872669000000016, -98.493465 33.896795, -98.478209 33.884511999999994, -98.43365 33.885233, -98.341426 33.867051, -98.223352 33.82023599999999, -98.21526200000001 33.806922999999976, -98.132496 33.767868000000014, -98.087911 33.696259000000005, -98.040236 33.649046999999996, -97.904732 33.58316899999998, -97.82882 33.532059000000025, -97.774596 33.45029400000001, -97.70997 33.37744799999999, -97.703401 33.35418000000001, -97.68014 33.34321800000001, -97.586769 33.216680999999994, -97.50023000000002 33.14428100000001, -97.471777 33.101881, -97.475646 33.047961, -97.438594 33.036836000000015, -97.325547 33.03499600000001, -97.224189 33.01352400000001, -97.21585800000001 33.000157, -97.171787 32.986167000000016, -97.15468800000001 32.962860999999975, -97.103016 32.94113899999998, -97.087512 32.92442700000001, -97.036051 32.93103500000002, -96.951988 32.88432100000002, -96.902947 32.836001, -96.816276 32.796822, -96.80830900000001 32.76917500000001, -96.774342 32.77359400000002)"
fresnoCA,sanBernardinoCA,"LINESTRING (-119.64114600000002 36.754946999999994, -119.664027 36.757496999999994, -119.663045 36.604781, -119.508443 36.482583999999996, -119.33108900000002 36.21961400000001, -119.32189999999999 36.092229999999994, -119.19312100000002 35.53661400000001, -119.06246799999998 35.42392499999997, -119.038166 35.35273099999998, -118.89976800000001 35.351126, -118.805219 35.328939000000005, -118.69923100000001 35.26897900000002, -118.62149700000002 35.262204, -118.57861300000002 35.23901699999999, -118.48179699999999 35.17715700000001, -118.466257 35.140778000000005, -118.303784 35.09703799999998, -118.222509 35.11809500000003, -118.170174 35.11049899999999, -118.12068399999998 35.085514999999994, -118.091852 35.030026000000014, -117.515131 34.995103000000015, -117.34217600000001 34.925032999999985, -117.101495 34.912745, -117.07476600000001 34.869735, -116.993931 34.88636699999999, -116.85504699999998 34.84760000000001, -116.37387100000001 34.77196300000001, -116.38810600000001 34.77884700000002, -116.334147 34.82486200000001, -116.219216 34.88901000000001)"
carsonTX,martinTX,"LINESTRING (-101.354228 35.40335800000001, -101.392443 35.332596000000024, -101.741997 35.22397800000002, -101.742921 35.193135999999996, -101.837758 35.194538000000016, -101.919194 35.072643000000014, -101.849058 34.942867000000014, -101.84751 34.721275, -101.708676 34.23960700000001, -101.750388 34.12930300000001, -101.853809 34.045395000000006, -101.844419 33.458007, -101.79404700000002 33.158178, -101.807224 33.005652, -102.014881 32.574514000000015, -101.95097 32.30562000000001)"
caldwellTX,100467,"LINESTRING (-97.626413 29.841661999999996, -97.668488 29.861559000000007, -97.674171 29.814573, -97.65714800000002 29.772761999999993, -97.64756 29.68051400000001, -97.592111 29.65184900000001, -97.488343 29.649225999999988, -97.296531 29.669660999999994, -97.239748 29.692350000000015, -96.542717 29.691810000000004, -96.493809 29.712039000000004, -96.28368 29.75072799999999, -96.16799 29.759950000000007, -96.12336 29.77546999999998, -96.043157 29.769696999999997, -95.989871 29.78166, -95.462626 29.78394499999999, -95.37535200000002 29.77880199999999, -95.359772 29.766977999999998, -95.290464 29.777820000000016, -95.181663 29.770424999999992, -95.123957 29.779002000000016)"
