type,fixed_usdPerTon,capEx_$_per_kW,kWh_perTon,variable_usdPerTon,utilization,purity,min_h2,max_h2,h2_tax_credit,grid_intensity_tonsCO2_per_h2,water_L_perTon,loss_percent
electrolyzer,50,1000,50000,0,0.975,high,100,50000,0,3.6,11000,0.1
electrolyzer-RE,50,1000,50000,0,0.4,high,100,50000,0,0,11000,0.1
