distributor,unit,capital_usdPerUnit,fixed_usdPerUnitPerDay,variable_usdPerKilometer-Ton,flowLimit_tonsPerDay
pipeline,km,1117016,164.4,0.1,999999
truckCompressed,truck,500000,52.19,7.58,1
truckLiquefied,truck,1500000,139.18,0.51,4
