startHub,endHub,exist_pipeline
7992,6740,0
6784,6932,0
5966,6784,0
4287,4306,0
4524,4507,0
4395,4388,0
3700,4122,0
71843,4205,0
71843,71769,0
104199,71686,0
99923,104199,0
97978,95899,0
97978,107687,0
96087,97689,0
107575,104301,0
107575,107195,0
96241,102642,0
3700,4524,0
96241,102826,0
97671,105243,0
107195,107575,0
10795,13756,0
102826,96241,0
107575,107195,0
110122,107575,0
96359,107687,0
107010,107644,0
96241,96675,0
107010,103399,0
107706,103399,0
107700,105567,0
104199,98043,0
