startHub,endHub,road_geometry
taylorTX,baylorTX,"LINESTRING (-99.89136 32.30672899999998, -99.903244 32.31832899999996, -99.890747 32.33855100000001, -99.785233 32.427631000000005, -99.784989 32.4604, -99.750787 32.517164000000015, -99.81150000000001 32.592155, -99.896266 32.73654500000001, -99.896499 32.776775000000015, -99.868977 32.81282299999999, -99.868303 32.865531999999995, -99.81415 32.94143, -99.769921 33.036711999999994, -99.750094 33.117236000000005, -99.72885 33.14298599999997, -99.72576 33.18350900000001, -99.679642 33.29899699999999, -99.678679 33.32381199999998, -99.62636500000002 33.43698, -99.609586 33.45333800000002, -99.52143700000002 33.46454600000001, -99.28995 33.561068, -99.280158 33.57813899999999, -99.244964 33.58315600000001, -99.2337 33.610628, -99.210454 33.61036300000001)"
13756,losAngelesCA,"LINESTRING (-118.118934 33.979112, -118.120238 33.97566200000001, -118.123718 33.97515099999998, -118.161635 34.01164199999998, -118.18057400000001 34.01985199999999, -118.194386 34.02074300000001, -118.21900400000001 34.03205899999998, -118.219479 34.03890699999998, -118.2139 34.050764, -118.21943100000001 34.07776900000001, -118.23796299999998 34.089783, -118.249297 34.10283600000001, -118.24837700000002 34.11046300000002, -118.231152 34.119894, -118.228327 34.12366300000001, -118.229364 34.13494600000001, -118.224101 34.15400900000001, -118.22528800000002 34.162224999999985, -118.21738999999998 34.185056, -118.22011899999998 34.194462000000016, -118.218463 34.20694399999998, -118.26618800000001 34.231726, -118.266095 34.240396, -118.27508700000001 34.245986000000016, -118.287683 34.248217, -118.29757200000002 34.254257999999986, -118.302704 34.25911000000001, -118.30338499999999 34.27365899999999, -118.282111 34.296207, -118.276565 34.29940399999999, -118.26947800000002 34.299916000000024, -118.26319500000001 34.304898, -118.23886500000002 34.296042000000014)"
kinneyTX,106128,"LINESTRING (-100.422247 29.348014999999993, -100.406477 29.33951299999999, -100.417834 29.462756000000013, -100.393184 29.505477000000013, -100.431146 29.662221000000002, -100.426923 29.719997999999993, -100.394163 29.742066999999995, -100.420179 29.794898999999987, -100.399645 29.811996000000008, -100.40633600000001 29.891533, -100.27748800000002 29.96947600000002, -100.260956 30.00241400000001, -100.205483 30.015710000000006, -100.110111 30.095979999999994, -100.02114 30.221784000000003, -99.91907 30.280905000000004, -99.888983 30.391738, -99.798426 30.45881299999998, -99.764799 30.532225000000004, -99.788554 30.619306999999992, -99.763423 30.88100499999999, -99.820912 31.02134600000001, -99.825086 31.154741999999995, -99.920099 31.50354500000001, -99.944147 31.739905000000018)"
caldwellTX,102098,"LINESTRING (-97.626413 29.841661999999996, -97.668488 29.861559000000014, -97.674016 29.81347099999999, -97.65714800000002 29.77276199999998, -97.64756 29.680514000000013, -97.592111 29.65184899999999, -97.486959 29.649282000000017, -97.296531 29.669661, -97.24168 29.692159000000004, -97.139001 29.69634500000002, -96.955731 29.688626, -96.856713 29.696345999999995, -96.830867 29.687774, -96.542717 29.691809999999997, -96.493809 29.71203899999998, -96.285437 29.750456000000003, -96.16799 29.759950000000007, -96.125411 29.77528700000002, -96.042305 29.769730999999997, -95.989871 29.781660000000006, -95.565023 29.784038999999996, -95.558457 29.747472, -95.538541 29.747448, -95.534999 29.737958000000006)"
coconinoAZ,pinalAZ,"LINESTRING (-111.763491 35.83494299999999, -112.130979 35.803651999999985, -112.177527 35.47723700000001, -112.15152600000002 35.259886000000016, -111.851873 35.247392000000005, -111.666614 35.172768, -111.685468 34.97429300000002, -111.598021 34.80347999999999, -111.911516 34.539720999999986, -111.979354 34.531818, -112.116662 34.362821000000004, -112.151146 34.12862599999998, -112.108209 33.43255700000002, -111.969762 33.40630600000001, -111.968576 33.28197800000001, -111.754425 33.00096400000003, -111.38819 33.01956500000001, -111.299291 32.92238600000002, -111.348312 32.914475)"
libertyTX,102557,"LINESTRING (-94.815759 30.156289000000008, -94.812437 30.16476700000001, -94.824066 30.16513300000001, -94.838071 30.17683999999999, -94.864787 30.177221000000003, -94.868145 30.167101000000006, -94.88804000000002 30.156959000000025, -94.868643 30.113505, -94.860085 30.109636999999985, -94.857862 30.101524999999985, -94.862388 30.081984000000006, -94.877218 30.069700999999988, -94.886274 30.046521000000016, -94.823945 30.058009, -94.775519 30.05850300000001, -94.532408 30.020428999999982, -94.18962204519786 30.067323019433985, -94.19056388403021 30.133102104728774, -94.16681287032647 30.13344208604368, -94.1794458407933 30.148508115927807, -94.1997784488053 30.266252430051043, -94.19577431129589 30.281649586582702, -94.18596222316276 30.29236568387285, -94.18682706992402 30.309657861597774, -94.17785198713408 30.320527954252604, -94.15793194400908 30.32932099801211, -94.13822776721018 30.356192200671735, -94.07406992964562 30.35302999663985)"
caldwellTX,kinneyTX,"LINESTRING (-97.626413 29.841661999999996, -97.658378 29.85623900000002, -97.670622 29.876242999999995, -97.683209 29.871125000000003, -97.687507 29.878904000000002, -97.775182 29.804907999999998, -97.79299 29.77739499999999, -97.877509 29.72230400000001, -97.883643 29.706324000000023, -97.869015 29.681224999999994, -97.886677 29.655422999999974, -97.880262 29.608233000000027, -97.972119 29.598432000000013, -98.045526 29.549387, -98.414962 29.429111000000002, -98.444019 29.403024000000002, -98.480909 29.394220999999995, -98.601483 29.407340000000012, -98.71659 29.378195000000023, -98.897296 29.348321999999985, -99.143948 29.347449999999988, -99.173137 29.336940000000006, -99.266006 29.334293000000024, -99.363683 29.314502999999995, -99.567089 29.31737199999999, -99.702278 29.276969000000012, -99.771296 29.214611000000005, -99.814271 29.199378, -99.886446 29.203242999999997, -100.07761 29.243294, -100.127597 29.231795999999992, -100.17363500000002 29.240610000000014, -100.412059 29.305676, -100.418663 29.309277, -100.406477 29.33951299999999, -100.420519 29.33966, -100.422247 29.348014999999993)"
laPazAZ,pinalAZ,"LINESTRING (-113.940498 33.729476000000005, -113.94001 33.768069, -113.922609 33.76813599999999, -113.92284500000001 33.685301000000024, -113.76747 33.718289999999996, -113.76722 33.628691, -113.172786 33.54123700000002, -112.624184 33.427254999999995, -112.497259 33.462292999999995, -112.039642 33.46155900000001, -112.03663800000001 33.42800400000002, -112.009987 33.41160499999999, -111.968246 33.403761999999986, -111.968576 33.28197800000001, -111.754425 33.00096400000003, -111.63607 33.02148699999999, -111.608646 33.002572000000015, -111.457759 33.002891000000005, -111.38819 33.01956500000001, -111.299291 32.92238600000002, -111.346887 32.92221299999999, -111.348312 32.914475)"
nacogdochesTX,99393,"LINESTRING (-94.614162 31.619783999999992, -94.616811 31.642496000000012, -94.655953 31.652017999999988, -94.67822 31.708179999999984, -94.68304 31.925236000000023, -94.790472 32.144341000000004, -94.788302 32.171662, -94.838133 32.212668, -94.855625 32.244059, -94.868313 32.286821, -94.869063 32.37956000000001, -94.883376 32.382542000000015, -94.926917 32.434725, -95.121509 32.43789900000001, -95.15704 32.44866599999999, -95.278189 32.45231299999996, -95.34742 32.468934000000004, -95.45930299999999 32.470385, -95.68555800000001 32.514389999999985, -95.902654 32.59769900000002, -96.271644 32.700192999999985, -96.358899 32.739709000000005, -96.445022 32.741781, -96.493078 32.77270499999997, -96.624091 32.79313699999999, -96.63621700000002 32.845812999999985, -96.75494 32.923258, -96.833802 32.92598900000001, -96.855071 32.91893700000001, -96.85595700000002 32.88)"
dallasTX,baylorTX,"LINESTRING (-96.774322 32.77359500000002, -96.782508 32.784892000000006, -96.811517 32.77843100000003, -96.816405 32.79721300000003, -96.865163 32.813509, -96.934896 32.85965700000001, -96.950381 32.883605000000024, -97.033743 32.931228, -97.087377 32.92486199999999, -97.102558 32.941193, -97.154379 32.962953999999975, -97.171796 32.986495000000005, -97.215527 33.000225, -97.224104 33.014041999999996, -97.325456 33.035289000000006, -97.43856 33.037122000000004, -97.47549 33.04810900000001, -97.471384 33.10128900000003, -97.500301 33.14479699999998, -97.586737 33.21704699999998, -97.680134 33.34363599999999, -97.70281600000001 33.35395799999999, -97.710249 33.379070000000006, -97.773669 33.449578, -97.828337 33.53199800000001, -97.90557 33.58429800000001, -98.040541 33.64954799999998, -98.087788 33.696454999999986, -98.132714 33.768796, -98.214947 33.807115, -98.222943 33.820268000000006, -98.34149600000002 33.867277000000016, -98.476577 33.88614, -98.493112 33.897625, -98.566409 33.873182, -98.603814 33.87104699999999, -98.647742 33.854388, -98.71792199999999 33.807859, -98.916896 33.73292000000001, -98.981091 33.69209000000001, -99.081131 33.686135, -99.146586 33.66841100000001, -99.24030913027123 33.61879512770255, -99.241767 33.595822000000005, -99.233914 33.595981, -99.2337 33.610628, -99.210454 33.61036300000001)"
