startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
weimarL,austin,113.12205010014492,139.23270000000002,0
lubbock,odessa,195.57894648692456,222.632,0
rhomeL,weatherfordL,42.35088195774242,71.8304,0
texarkana,rockwallL,225.7969870715431,244.3815,0
weatherfordL,wichitaFalls,146.34491580507415,176.4092,0
hutchinsL,rockwallL,41.471932105427136,53.07,0
portArthur,beaumont,26.57951129465281,28.0098,1
amarillo,lubbock,182.27046328517827,199.568,0
eloyL,bensonL,155.76540443787883,165.13139999999999,0
texasCity,leagueCity,21.534681147183075,27.350099999999998,0
laPorte,texasCity,32.055899283697,36.389300000000006,1
freeport,pearland,67.8652893082327,84.02789999999999,0
montBelvieu,baytown,14.971505269142023,17.9039,1
comfortL,austin,116.0174594821599,149.14239999999998,0
dallas2L,dallas,15.51203280624355,18.057299999999998,0
sanAntonio2L,corpusChristi,208.71274125698397,233.7214,0
baytownL,deerParkL,11.61742962110047,13.4361,0
laredo,sanAntonio1L,215.82460313619436,230.60829999999999,0
abilene,sanAngelo,126.76549907798965,142.2453,0
troyL,waco,42.619853202989994,45.2266,0
nataliaL,sanAntonio1L,26.142212404665603,27.7796,0
chandlerL,eloyL,58.994165680511294,61.600199999999994,0
waco,killeen,73.0218845295076,94.9532,0
pasadena,leagueCity,23.129821960675457,25.1436,0
laredo,mcallen,193.12065291370882,234.3547,0
hillsboroL,italy L,27.424273887778853,30.143900000000002,0
pearland,houston,22.958563640587307,27.3807,0
troyL,killeen,40.39215781643293,50.8221,0
katyL,wallerL,31.577084757792534,50.9551,0
fortWorthL,dallas,52.55720518834616,66.7286,0
brazoria,hungerfordL,60.52844947628628,83.3002,0
sugarLand,wallerL,55.708325605413464,70.4517,0
houston2L,sugarLand,32.29216563370844,38.2683,0
troyL,austin,109.83420637710744,119.042,0
deerPark,sanJacinto,89.08899173769765,112.6108,1
brazoria,sugarLand,50.228400229530656,67.61,0
comfortL,sanAntonio,73.20347420181862,77.54260000000001,0
sanAntonio3L,comfortL,79.21119142419859,95.4551,0
brownsville,mcallen,80.9680257732164,94.4134,0
fortStocktonL,vanHornL,188.23321031725865,194.679,0
theWoodlands,wallerL,40.398403080225485,56.285,0
sanJacinto,willisL,30.578320881365922,46.705,0
hutchinsL,dallas2L,13.754960284561555,17.2945,0
texasCity,deerParkL,38.945240384612205,44.7438,0
midland,sanAngelo,165.6757143380972,180.1538,0
bridgeportL,abilene,206.48668867573753,272.4865,0
dentonL,wichitaFalls,141.495355870835,161.9737,0
hungerfordL,corpusChristi,222.01162720171195,253.42839999999998,0
elPasoL,anthonyL,49.54537199616328,61.190599999999996,0
dallas2L,almaL,47.914073239855874,59.462199999999996,0
almaL,dallas1L,45.31039344645871,51.1255,0
chocolateBay,freeport,129.06263258536842,163.339,1
italy L,midlothianL,33.71099309040763,41.5062,0
deerPark,deerParkL,3.0118041507419973,4.3309,0
theWoodlands,houston,47.72118674633027,52.917300000000004,0
pasadena,deerParkL,11.391657362156398,14.204799999999999,0
comfortL,sanAntonio1L,79.21119142419859,93.6498,0
anthonyL,elPaso,26.860693908250454,38.5078,0
dallas2L,fortWorthL,45.04769912626048,54.9523,0
weatherfordL,fortWorthL,42.8943287743496,50.4525,0
montBelvieu,deerParkL,24.949182544377003,31.9953,0
chocolateBay,hungerfordL,103.98691137341652,125.8138,0
fairfieldL,waco,93.36904844395649,103.2538,0
dentonL,dallas,64.64253590366798,70.7805,0
