hub,type,latitude,longitude,status,build_smr-noCCS,build_smr-low,build_smr-high,build_smr-high-ptc,build_electrolyzer,build_electrolyzer-RE,transportationFuel_tonnesperday,transportationFuel_carbonSensitive_tonnesperday,industrialFuel_tonnesperday,existing_tonnesperday,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm
houston,city,29.7589382,-95.3676974,1,0,1,1,1,1,1,0,0,0,0,4.049164359,0.043632017,0.932665854
sanAntonio,city,29.4246002,-98.4951405,1,0,1,1,1,1,1,0,51,0,0,4.140460697,0.046236011,0.914349379
austin,city,30.2711286,-97.7436995,1,0,1,1,1,1,1,0,22,0,0,4.140460697,0.046236011,0.914349379
dallas,city,32.7762719,-96.7968559,1,0,1,1,1,1,1,0,40,0,0,4.018155902,0.043632017,0.934957353
amarillo,city,35.2072185,-101.833824,0,0,1,1,1,1,0,0,397,0,0,4.178114587,0.041439585,0.929686553
brownsville,city,25.9140277,-97.4890879,0,0,1,1,1,1,0,0,354,0,0,4.656782291,0.038959813,0.971240332
collegeStation,city,30.5955289,-96.3071042,0,0,1,1,1,1,0,0,589,0,0,4.656782291,0.038959813,0.971240332
fortWorth,city,32.753177,-97.3327459,0,0,1,1,1,1,1,0,31,0,0,4.085729713,0.043632017,0.923577295
killeen,city,31.1171441,-97.727796,0,0,1,1,1,1,1,0,28,0,0,4.178114587,0.041439585,0.929686553
leagueCity,city,29.5074538,-95.0949303,0,0,1,1,1,1,1,0,0,0,0,4.345318631,0.038959813,0.939923752
lubbock,city,33.5635206,-101.879336,0,0,1,1,1,1,0,0,589,0,0,4.003925592,0.043632017,0.932980206
odessa,city,31.8457149,-102.367687,0,0,1,1,1,1,1,0,23,0,0,4.003925592,0.043632017,0.932980206
pearland,city,29.5639758,-95.2864299,0,0,1,1,1,1,1,0,40,0,0,4.155303773,0.046236011,0.914163499
sanAngelo,city,31.4649685,-100.4405094,0,0,1,1,1,1,1,0,19,0,0,3.999457804,0.043632017,0.9286333
sugarLand,city,29.6196787,-95.6349463,0,0,1,1,1,1,1,0,0,0,0,4.140460697,0.046236011,0.914349379
theWoodlands,city,30.1734194,-95.504686,-1,0,1,1,1,1,0,0,18,0,0,4.140460697,0.046236011,0.914349379
tyler,city,32.3512601,-95.3010624,0,0,1,1,1,1,0,0,0,0,0,4.140460697,0.046236011,0.914349379
wichitaFalls,city,33.9004572,-98.5020777,0,0,1,1,1,1,1,0,0,0,0,4.197530099,0.041660254,0.913711016
deerParkL,loves,29.706999,-95.092708,0,0,1,1,1,1,1,0,0,0,0,4.049164359,0.043632017,0.932665854
houston1L,loves,29.798591,-95.269023,1,0,1,1,1,1,1,0,0,0,0,4.035144617,0.043632017,0.930191929
hungerfordL,loves,29.390748,-96.075801,0,0,1,1,1,1,1,0,0,0,0,4.138141751,0.046236011,0.915865448
wallerL,loves,30.064458,-95.905556,0,0,1,1,1,1,0,0,0,0,0,4.073876451,0.041660254,0.924616394
clevelandL,loves,30.354701,-95.09128,0,0,1,1,1,1,1,0,0,0,0,4.140460697,0.046236011,0.914349379
houston2L,loves,29.797437,-95.369817,0,0,1,1,1,1,1,0,0,0,0,4.304449221,0.041660254,0.913499032
willisL,loves,30.436694,-95.498411,0,0,1,1,1,1,0,0,0,0,0,4.143461432,0.046236011,0.913578331
fairfieldL,loves,31.728217,-96.182736,0,0,1,1,1,1,0,0,0,0,0,4.282127991,0.041660254,0.911220159
almaL,loves,32.287637,-96.543987,0,0,1,1,1,1,0,0,0,0,0,4.15654518,0.038959813,0.939822512
hutchinsL,loves,32.623952,-96.69378,0,0,1,1,1,1,0,0,0,0,0,4.195583394,0.041660254,0.919406954
dallas1L,loves,32.655868,-96.754979,1,0,1,1,1,1,0,0,0,0,0,4.282127991,0.041660254,0.911220159
dallas2L,loves,32.640809,-96.839275,0,0,1,1,1,1,1,0,0,0,0,4.241608162,0.038959813,0.940270121
rockwallL,loves,32.918189,-96.419311,1,0,1,1,1,1,0,0,0,0,0,4.035144617,0.043632017,0.930191929
annaL,loves,33.345047,-96.584193,0,0,1,1,1,1,1,0,0,0,0,4.161970633,0.046236011,0.914021937
dentonL,loves,33.263072,-97.179456,0,0,1,1,1,1,1,0,0,0,0,4.288867076,0.041660254,0.920262051
bridgeportL,loves,33.221219,-97.737881,0,0,1,1,1,1,1,0,0,0,0,4.281039576,0.038959813,0.941398556
rhomeL,loves,33.05703,-97.484072,0,0,1,1,1,1,1,0,0,0,0,4.192498119,0.046236011,0.914948143
weatherfordL,loves,32.742896,-97.742837,0,0,1,1,1,1,1,0,0,0,0,4.140460697,0.046236011,0.914349379
fortWorthL,loves,32.598737,-97.317578,1,0,1,1,1,1,1,0,0,0,0,4.155303773,0.046236011,0.914163499
midlothianL,loves,32.482947,-97.011128,0,0,1,1,1,1,1,0,0,0,0,4.188542715,0.046236011,0.91437932
italy L,loves,32.193688,-96.898726,0,0,1,1,1,1,1,0,0,0,0,4.178114587,0.041439585,0.929686553
hillsboroL,loves,32.00952,-97.093528,0,0,1,1,1,1,1,0,0,0,0,4.035216413,0.043632017,0.935136473
troyL,loves,31.191227,-97.312105,0,0,1,1,1,1,1,0,0,0,0,4.086860797,0.043632017,0.93309778
sanAntonio1L,loves,29.31101,-98.617826,1,0,1,1,1,1,1,0,0,0,0,4.159230042,0.038959813,0.930834353
sanAntonio2L,loves,29.448396,-98.361512,0,0,1,1,1,1,1,0,0,0,0,4.266970286,0.043860413,0.919241878
sanAntonio3L,loves,29.31101,-98.617826,0,0,1,1,1,1,1,0,0,0,0,4.266970286,0.043860413,0.919241878
nataliaL,loves,29.184729,-98.84545,0,0,1,1,1,1,1,0,0,0,0,4.266970286,0.043860413,0.919241878
baytownL,loves,29.797963,-95.032623,-1,0,1,1,1,1,1,0,0,0,0,4.266970286,0.043860413,0.919241878
katyL,loves,29.779813,-95.881907,0,0,1,1,1,1,1,0,0,0,0,4.159892325,0.043632017,0.916951128
weimarL,loves,29.69051,-96.77705,0,0,1,1,1,1,1,0,0,0,0,4.225571923,0.041660254,0.919500419
lulingL,loves,29.653691,-97.592282,0,0,1,1,1,1,0,0,0,0,0,4.199531735,0.038959813,0.92806014
seguinL,loves,29.560811,-98.034476,0,0,1,1,1,1,0,0,0,0,0,4.199531735,0.038959813,0.92806014
comfortL,loves,29.98203,-98.903241,0,0,1,1,1,1,0,0,0,0,0,4.154043616,0.046236011,0.914640102
sonoraL,loves,30.571142,-100.585636,0,0,1,1,1,1,1,0,0,0,0,4.351826731,0.043632017,0.931947656
fortStocktonL,loves,30.893377,-102.852146,0,0,1,1,1,1,1,0,0,0,0,4.143461432,0.046236011,0.913578331
vanHornL,loves,31.040102,-104.819253,0,0,1,1,1,1,1,0,0,0,0,4.143841691,0.046236011,0.916361484
elPasoL,loves,31.65976,-106.237409,-1,0,1,1,1,1,0,0,0,0,0,4.178114587,0.041439585,0.929686553
anthonyL,loves,31.997879,-106.581219,0,0,1,1,1,1,1,0,0,0,0,4.073876451,0.041660254,0.924616394
lasCrucesL,loves,32.269463,-106.921622,0,1,1,1,1,1,1,0,0,0,0,4.150365337,0.043632017,0.926886126
lordsburgL,loves,32.353872,-108.73557,0,1,1,1,1,1,1,0,40,0,0,4.435595592,0.038959813,0.955274908
willcoxL,loves,32.266928,-109.847324,0,1,1,1,1,1,1,0,0,0,0,4.435595592,0.038959813,0.955274908
bensonL,loves,31.962406,-110.344844,0,1,1,1,1,1,0,0,0,0,0,4.021041851,0.043632017,0.926566559
eloyL,loves,32.80643,-111.672093,0,1,1,1,1,1,0,0,40,0,0,4.140460697,0.046236011,0.914349379
chandlerL,loves,33.279875,-111.962298,0,1,1,1,1,1,1,0,0,0,0,4.003483883,0.043632017,0.933156657
tollesonL,loves,33.457995,-112.23908,0,1,1,1,1,1,1,0,0,0,0,4.187821745,0.041660254,0.91435747
buckeyeL,loves,33.431284,-112.591725,0,1,1,1,1,1,1,0,40,0,0,4.118744245,0.038959813,0.938876459
quartzsiteL,loves,33.657299,-114.241226,0,1,1,1,1,1,1,0,40,0,0,4.178114587,0.041439585,0.929686553
coachellaL,loves,33.717419,-116.171266,1,1,1,1,1,1,0,0,40,0,0,4.143841691,0.046236011,0.916361484
