consumer,county,state,latitude,longitude,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm,water_usd_per_L
14295,San Joaquin,California,37.954,-121.271,13.73,0.1864,1.297900262,0.0018492
100467,Harris,Texas,29.779,-95.124,2.47,0.066,0.819772528,0.0010567
