hubA,hubB,road_geometry
freeport,brazoria,"LINESTRING (-95.344297 28.949728999999984, -95.342263 28.955798999999995, -95.344161 28.959526999999998, -95.354478 28.959954999999994, -95.370692 28.96922399999999, -95.386228 29.001079000000008, -95.403064 29.009556999999987, -95.419234 29.01007, -95.429984 29.014196999999996, -95.439987 29.03016300000001, -95.453051 29.039212000000003, -95.454415 29.047058000000007, -95.463615 29.048698000000016, -95.470162 29.047568999999985, -95.475802 29.049234999999996, -95.487235 29.049089, -95.496854 29.053951999999995, -95.515384 29.05377899999999, -95.550999 29.059318, -95.554647 29.058036999999985, -95.560991 29.050110999999987)"
houston,brazoria,"LINESTRING (-95.36952 29.760779999999993, -95.364044 29.756425999999998, -95.371141 29.747469000000024, -95.364511 29.742940999999984, -95.377247 29.722179000000004, -95.375061 29.701441999999993, -95.38743 29.657085999999996, -95.38832 29.506253, -95.427103 29.445124000000014, -95.425383 29.30504200000002, -95.453473 29.253962000000012, -95.453878 29.163373000000014, -95.493106 29.156917000000004, -95.513576 29.148339999999983, -95.549582 29.089650999999996, -95.555715 29.072119999999984, -95.553388 29.061226000000012, -95.560991 29.050110999999987)"
midland,sonora,"LINESTRING (-102.074444 32.00002, -102.077537 31.983499000000013, -102.02809100000002 31.82580400000001, -102.025909 31.763394000000027, -101.936096 31.48565700000001, -101.944415 31.248406, -101.933186 31.22571200000001, -101.898684 31.237401000000006, -101.661466 31.23158899999997, -101.467378 31.191704000000016, -101.4607 30.917166999999985, -101.413641 30.908259000000005, -101.26797 30.785514999999975, -101.195155 30.749633999999986, -101.2018 30.705281000000003, -101.157094 30.70962799999999, -100.951448 30.661551999999993, -100.83489400000002 30.620473999999987, -100.748135 30.616220000000006, -100.66829 30.58764100000001, -100.644136 30.56729600000001)"
sanJacinto,brazoria,"LINESTRING (-94.783122 29.29613400000001, -94.861482 29.246302000000004, -94.941944 29.206085999999996, -95.089206 29.112245999999995, -95.138029 29.061600999999992, -95.287429 28.951911000000024, -95.312863 28.970831000000015, -95.384662 29.004753000000004, -95.429343 29.01379400000001, -95.439987 29.03016300000001, -95.453051 29.039212000000003, -95.454415 29.047058000000007, -95.550999 29.059318, -95.560991 29.050110999999987)"
chocolateBay,freeport,"LINESTRING (-95.143739 29.197374999999973, -95.147843 29.198840000000004, -95.149897 29.20331599999999, -95.151612 29.202255000000015, -95.171651 29.230449000000014, -95.17228900000002 29.24260899999999, -95.168322 29.24512299999999, -95.170874 29.24670300000002, -95.242209 29.180135000000003, -95.252425 29.17470999999999, -95.259686 29.142078000000005, -95.242562 29.128163000000008, -95.341816 29.048307000000005, -95.327637 29.028907999999994, -95.328031 28.998159000000012, -95.338685 28.979538000000016, -95.349376 28.96848099999999, -95.342427 28.957279999999976, -95.344297 28.949728999999984)"
elPaso,vanHorn,"LINESTRING (-106.487465 31.759175999999997, -106.463518 31.77774800000001, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.245405 31.666584, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.87917500000002 31.329219000000002, -105.79947 31.27740399999999, -105.785698 31.235677000000017, -105.709641 31.17795900000001, -105.658359 31.171079000000013, -105.591474 31.196919000000005, -105.531349 31.193002000000014, -105.484449 31.217500000000012, -105.452663 31.198470000000004, -105.052396 31.089121, -104.90131600000001 31.03873599999998, -104.830842 31.04194099999997)"
abilene,dallas,"LINESTRING (-99.74142 32.44917499999999, -99.682526 32.445906999999984, -99.677418 32.460511999999994, -99.627467 32.43606700000002, -99.2143 32.37015399999999, -98.834201 32.375488000000004, -98.621867 32.47563300000001, -98.372783 32.513229, -98.228545 32.568517000000014, -98.17028000000002 32.57318299999998, -97.997589 32.687757, -97.885123 32.726198999999994, -97.798233 32.72715699999999, -97.70003 32.755053, -97.524273 32.720491999999986, -97.240176 32.76046899999999, -96.846147 32.763781, -96.795125 32.77823500000001)"
texasCity,brazoria,"LINESTRING (-94.925086 29.392989999999987, -94.990409 29.396343999999992, -95.02741900000001 29.403620000000004, -95.040537 29.410477, -95.076689 29.449268000000014, -95.09934 29.439314000000024, -95.200101 29.43499200000001, -95.206758 29.430124000000003, -95.227509 29.429461999999997, -95.233969 29.407562000000013, -95.247428 29.39856600000002, -95.290979 29.325238999999993, -95.343847 29.267760999999993, -95.42010700000002 29.166970000000003, -95.492391 29.157062999999983, -95.513576 29.148339999999983, -95.549582 29.089650999999996, -95.555715 29.072119999999984, -95.553388 29.061226000000012, -95.560991 29.050110999999987)"
brazoria,corpusChristi,"LINESTRING (-95.560991 29.050110999999987, -95.625952 29.090466000000003, -95.653231 29.138068, -95.691561 29.097704000000007, -95.77231 29.07301099999999, -95.838479 29.064108000000008, -95.939911 28.983047999999997, -96.013375 28.98469, -96.147296 28.896981000000004, -96.208718 28.872031999999994, -96.252222 28.868349000000002, -96.366402 28.72685900000001, -96.392446 28.73968899999999, -96.44014 28.73133800000001, -96.561924 28.673594999999988, -96.630786 28.632921000000007, -96.652806 28.606592999999993, -96.840733 28.498337000000017, -96.885762 28.463328000000008, -96.952369 28.281675, -96.98502400000001 28.231350000000006, -97.004427 28.14320000000001, -97.037008 28.090235000000007, -97.041285 28.061639000000003, -97.063099 28.063703999999994, -97.158119 27.92508700000001, -97.265921 27.927323000000005, -97.296578 27.914050000000007, -97.318275 27.881781000000004, -97.384033 27.833837999999982, -97.40374 27.796421999999996)"
pasadena,medicalCenter,"LINESTRING (-95.19548 29.69088599999997, -95.234513 29.690503000000003, -95.245382 29.70635000000002, -95.265457 29.709391, -95.268916 29.708833000000013, -95.283579 29.699044, -95.294316 29.69572399999999, -95.312821 29.69719400000001, -95.322827 29.693664999999985, -95.352332 29.70295, -95.375523 29.701959000000002, -95.386963 29.706580999999996, -95.39011 29.706033000000016, -95.390685 29.709034999999997, -95.393166 29.71178300000001)"
austin,abilene,"LINESTRING (-97.742987 30.26758899999999, -97.76330200000001 30.28564400000001, -97.737983 30.378575, -97.747222 30.421506000000004, -97.789587 30.446975000000005, -97.819455 30.554356000000006, -97.859248 30.603749000000015, -97.880267 30.666128999999987, -97.877168 30.775423, -97.921685 30.88368, -98.104297 30.993182, -98.176555 31.051957000000012, -98.187423 31.084558, -98.311243 31.139080000000003, -98.380079 31.193141000000004, -98.558861 31.40156300000001, -98.585237 31.512869999999992, -98.802561 31.68400999999998, -98.945335 31.742469999999976, -99.016965 31.72085199999999, -99.13438 31.716699000000006, -99.344813 31.74991800000001, -99.426703 31.856153000000027, -99.534404 31.951784000000004, -99.65231 32.020347, -99.743068 32.135032999999986, -99.759392 32.278622, -99.725949 32.447084999999994, -99.74142 32.44917499999999)"
waco,dallas,"LINESTRING (-97.149504 31.571826, -97.137371 31.561359999999965, -97.109172 31.584812000000028, -97.095472 31.629062000000012, -97.102669 31.791805, -97.081265 31.877232999999997, -97.11901 31.96884499999999, -97.095697 32.00415200000002, -97.091744 32.05664100000001, -96.93771200000002 32.14477599999999, -96.910499 32.17432099999999, -96.876698 32.242174000000006, -96.85443 32.34845899999999, -96.872207 32.412110999999996, -96.822087 32.50098499999998, -96.829659 32.712162, -96.823239 32.73888300000001, -96.795125 32.77823500000001)"
pasadena,houston,"LINESTRING (-95.19548 29.69088599999997, -95.234513 29.690503000000003, -95.245382 29.70635000000002, -95.265457 29.709391, -95.268916 29.708833000000013, -95.283579 29.699044, -95.289371 29.698347000000002, -95.358333 29.742686999999997, -95.373008 29.750573000000003, -95.374511 29.752880000000008, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.369007 29.762060000000016, -95.36952 29.760779999999993)"
laredo,corpusChristi,"LINESTRING (-99.50223 27.530922999999998, -99.43404 27.528396999999988, -99.395583 27.560116999999998, -99.26311 27.595145999999982, -99.160462 27.658484000000016, -98.984831 27.714653, -98.84559 27.774349000000008, -98.797473 27.795251, -98.747724 27.843598999999998, -98.639227 27.88234899999999, -98.583333 27.882343000000002, -98.469064 27.826594, -98.345745 27.78641999999999, -98.203661 27.755889000000003, -98.090213 27.74600200000001, -98.064711 27.750917000000005, -98.021405 27.780555999999986, -97.933624 27.776908, -97.76724 27.811199000000016, -97.660347 27.798955999999993, -97.655262 27.78589999999998, -97.629836 27.78280200000001, -97.426949 27.786400999999994, -97.40374 27.796421999999996)"
midland,vanHorn,"LINESTRING (-102.074444 32.00002, -102.074715 31.972905, -102.11975 31.961011999999986, -102.289068 31.873319000000002, -102.343346 31.83132, -102.401317 31.81440800000001, -102.42546300000001 31.816988, -102.514364 31.768725999999976, -102.609605 31.731054000000004, -102.799636 31.62019299999998, -102.84427400000001 31.607200000000002, -102.876536 31.57945699999998, -102.944747 31.57533800000001, -103.327759 31.475238000000008, -103.398096 31.419714000000006, -103.49842 31.39589000000001, -103.556289 31.406481000000017, -103.741816 31.339833, -103.854305 31.269380999999996, -103.990533 31.148714000000034, -104.025069 31.131010000000003, -104.0699 31.084100999999993, -104.100514 31.084426, -104.159029 31.060793999999998, -104.413745 31.073787000000006, -104.738344 31.04296599999999, -104.830842 31.04194099999997)"
sanAntonio,corpusChristi,"LINESTRING (-98.494636 29.424580999999986, -98.395301 29.299245000000003, -98.428266 29.16965, -98.434549 28.91131799999999, -98.300396 28.763723999999996, -98.185859 28.524966000000006, -98.119151 28.470275000000004, -98.026596 28.337261999999996, -97.922358 28.25579899999998, -97.808007 28.08792300000001, -97.674725 27.977831999999996, -97.621657 27.863437000000015, -97.49109 27.806395999999996, -97.40374 27.796421999999996)"
waco,texarkana,"LINESTRING (-97.149504 31.571826, -97.137371 31.561359999999965, -97.025567 31.628861000000004, -96.839922 31.810702000000003, -96.539534 32.043805999999975, -96.424095 32.04731900000001, -96.383571 32.105653, -96.345052 32.115671999999996, -96.09059100000002 32.14772, -95.908358 32.19455100000001, -95.864017 32.22652, -95.81244700000002 32.22653700000003, -95.746411 32.27974200000001, -95.588102 32.31000000000001, -95.519598 32.29729399999997, -95.38392 32.33193500000001, -95.341598 32.345375000000004, -95.340551 32.378033999999985, -95.275508 32.38759400000001, -95.207366 32.424350999999994, -95.151258 32.5568, -94.944891 32.711754, -94.870788 32.81148700000002, -94.55405500000002 32.89375999999999, -94.183398 33.111077999999985, -94.151162 33.15614, -94.150127 33.336318000000006, -94.048266 33.425574)"
baytown,sanJacinto,"LINESTRING (-94.996356 29.72870400000001, -94.99481 29.720002999999995, -95.030215 29.690737000000016, -95.033693 29.61383300000002, -95.022211 29.54537600000001, -94.969967 29.45473499999997, -94.951496 29.399323000000017, -94.95083 29.376395000000006, -94.941184 29.346118, -94.932051 29.337531000000002, -94.931 29.328380999999993, -94.904593 29.304656999999995, -94.866266 29.285760000000007, -94.83492800000002 29.288737000000015, -94.787378 29.301199000000004, -94.783122 29.29613400000001)"
laPorte,channelview,"LINESTRING (-95.02454 29.65249, -95.029515 29.652402000000002, -95.029732 29.69146400000001, -95.027182 29.695037000000003, -95.012536 29.706912999999993, -94.99967 29.714554000000007, -94.992971 29.721376000000003, -94.991303 29.725768999999982, -94.9944 29.73448400000001, -94.986152 29.745882, -94.986244 29.747979999999984, -94.99173 29.754044999999998, -95.003088 29.76044999999999, -95.021393 29.778380000000006, -95.050402 29.791442999999997, -95.056858 29.79085099999998, -95.06701300000002 29.79509999999998, -95.072052 29.79513800000001, -95.106624 29.785421000000028, -95.10539 29.78137200000001, -95.11203400000001 29.77785700000001)"
baytown,deerPark,"LINESTRING (-94.996356 29.72870400000001, -94.995411 29.72760799999999, -94.996479 29.72522299999995, -94.992159 29.723723000000003, -94.99481 29.720002999999995, -95.000666 29.714121000000013, -95.012107 29.70752400000002, -95.026718 29.695766000000006, -95.029169 29.693067999999997, -95.031322 29.689281999999995, -95.032601 29.688522000000006, -95.036223 29.688090000000003, -95.04058700000002 29.68858399999999, -95.084635 29.702027000000005, -95.090918 29.704289000000017, -95.091476 29.706075999999996, -95.092318 29.706489, -95.093748 29.702860999999995, -95.093595 29.700484999999993, -95.100627 29.700387000000013, -95.098987 29.697444999999995, -95.098789 29.689980999999992, -95.11678 29.689660000000007)"
chocolateBay,brazoria,"LINESTRING (-95.143739 29.197374999999973, -95.147843 29.198840000000004, -95.149897 29.20331599999999, -95.151612 29.202255000000015, -95.171651 29.230449000000014, -95.17228900000002 29.24260899999999, -95.168322 29.24512299999999, -95.170874 29.24670300000002, -95.244836 29.178151000000007, -95.31052 29.148687, -95.328417 29.145917999999984, -95.377617 29.122993000000022, -95.40637200000002 29.07866299999999, -95.421366 29.065234999999987, -95.449082 29.06328299999999, -95.471244 29.047663, -95.488103 29.049249000000014, -95.496854 29.053951999999995, -95.515384 29.05377899999999, -95.550999 29.059318, -95.560991 29.050110999999987)"
orange,beaumont,"LINESTRING (-93.736655 30.093098999999974, -93.763117 30.094967000000022, -93.778124 30.109517000000007, -93.820422 30.115450000000006, -93.86316 30.131856000000006, -93.969028 30.12939, -94.004214 30.135802999999996, -94.018058 30.130422999999997, -94.066521 30.098301000000024, -94.074782 30.09552900000001, -94.100431 30.094516000000006, -94.10135 30.086139000000006)"
mcallen,laredo,"LINESTRING (-98.229338 26.207703999999993, -98.232327 26.189916000000007, -98.333744 26.202223, -98.365364 26.232376999999993, -98.506269 26.247856, -98.557665 26.275266000000023, -98.754624 26.346753000000003, -98.806007 26.378443999999995, -98.874531 26.37288700000002, -98.941539 26.407193999999997, -99.013837 26.403356999999993, -99.029888 26.459796999999995, -99.088431 26.52633400000002, -99.087813 26.61256600000002, -99.127786 26.791129, -99.186227 26.839736000000006, -99.2522 26.864631999999993, -99.265848 26.900018999999997, -99.306194 26.943143999999993, -99.340419 26.951836999999994, -99.387778 27.010152000000026, -99.436516 27.040056000000007, -99.423827 27.10547600000002, -99.421981 27.275187000000027, -99.480218 27.40739, -99.46884700000001 27.502112999999994, -99.474189 27.516772000000007, -99.502608 27.51709500000002, -99.50223 27.530922999999998)"
brazoria,austin,"LINESTRING (-95.560991 29.050110999999987, -95.629346 29.094093999999995, -95.748076 29.324059000000002, -95.83281 29.395356000000017, -95.834398 29.426493999999998, -95.814121 29.474011000000033, -95.884767 29.532935, -95.88861 29.578656000000016, -96.09523000000002 29.644950000000005, -96.13137 29.68908000000001, -96.153224 29.765504, -96.284821 29.750775000000004, -96.493907 29.712218999999987, -96.541666 29.692140000000006, -96.571314 29.694172000000005, -96.58527 29.73615199999999, -96.777257 29.898671999999976, -96.817164 29.900248999999988, -96.868601 29.92339100000001, -96.912892 29.906085000000008, -96.987056 29.93662000000001, -97.068526 29.943864, -97.175473 30.043593999999995, -97.254003 30.090166000000007, -97.294294 30.105058000000017, -97.413046 30.111516000000012, -97.545409 30.184769999999986, -97.615273 30.186806000000004, -97.680175 30.224360999999995, -97.692526 30.250806000000008, -97.742987 30.26758899999999)"
austin,centerville,"LINESTRING (-97.742987 30.26758899999999, -97.733854 30.26658799999998, -97.70601 30.32176500000001, -97.592761 30.340684999999986, -97.57847 30.388387999999992, -97.594173 30.46593400000002, -97.575351 30.510472000000018, -97.575626 30.538213999999996, -97.278113 30.594463000000008, -97.174658 30.624547000000007, -97.022125 30.646251, -96.818864 30.72386700000002, -96.60953 30.85486000000001, -96.591307 30.876192000000014, -96.607988 30.90703399999999, -96.586779 30.937267, -96.511187 31.009368, -96.43428400000002 31.049574000000003, -96.401882 31.092434, -96.328446 31.136737, -96.287444 31.176929000000026, -96.256949 31.243628000000015, -96.126174 31.255549, -96.036465 31.243324000000012, -95.97831 31.25797399999998)"
laPorte,pasadena,"LINESTRING (-95.02454 29.65249, -95.083671 29.65172800000001, -95.089539 29.651152999999994, -95.121342 29.65056500000002, -95.13219 29.662521999999992, -95.137524 29.673737999999997, -95.169247 29.692442999999983, -95.170437 29.691788000000006, -95.193035 29.691597000000016, -95.19548 29.69088599999997)"
deerPark,channelview,"LINESTRING (-95.11678 29.689660000000007, -95.123438 29.68953999999998, -95.123964 29.711716000000013, -95.145 29.711920999999997, -95.152954 29.712649, -95.151918 29.716019, -95.147824 29.721760999999994, -95.145597 29.740640999999997, -95.146268 29.760657000000002, -95.147929 29.764893999999995, -95.151824 29.770657999999994, -95.124559 29.777738999999997, -95.124506 29.776973000000016, -95.114206 29.776708000000017, -95.11203400000001 29.77785700000001)"
sanAntonio,austin,"LINESTRING (-98.494636 29.424580999999986, -98.486406 29.440034, -98.444432 29.439438999999997, -98.414418 29.454691999999998, -98.38673 29.535439, -98.143498 29.681935000000024, -98.095156 29.698795000000004, -98.020031 29.796559000000006, -97.905248 29.900549000000005, -97.879079 29.949784000000005, -97.87000500000002 29.996359999999996, -97.787973 30.163490999999986, -97.73518700000001 30.243797000000015, -97.734176 30.265654000000005, -97.742987 30.26758899999999)"
brazoria,sanAntonio,"LINESTRING (-95.560991 29.050110999999987, -95.629346 29.094093999999995, -95.748076 29.324059000000002, -95.83281 29.395356000000017, -95.814121 29.474011000000033, -95.884767 29.532935, -95.88861 29.578656000000016, -96.09523000000002 29.644950000000005, -96.13137 29.68908000000001, -96.153224 29.765504, -96.54306 29.691986999999994, -97.141398 29.69669399999999, -97.486379 29.649613999999996, -97.672372 29.651777999999982, -97.803773 29.615535000000005, -97.970348 29.598996999999994, -98.044891 29.549649, -98.25680500000001 29.47676399999999, -98.436908 29.42013900000001, -98.494636 29.424580999999986)"
