hubA,hubB,road_geometry
centerville,dallas,"LINESTRING (-95.97831 31.25797399999998, -96.021911 31.380308000000017, -96.14892 31.582603999999993, -96.182718 31.73244299999999, -96.309454 31.859575999999986, -96.424504 31.93266699999999, -96.45217700000002 32.061459000000006, -96.439102 32.08969499999998, -96.474109 32.200212000000015, -96.510423 32.269392, -96.598059 32.31179899999998, -96.646595 32.37725299999999, -96.664683 32.561316999999995, -96.795125 32.77823500000001)"
texasCity,sanJacinto,"LINESTRING (-94.925086 29.392989999999987, -94.931732 29.395207000000003, -94.951588 29.395390999999986, -94.95083 29.376395000000006, -94.947176 29.360937000000035, -94.943356 29.354007000000003, -94.941184 29.346118, -94.93176100000001 29.336914999999998, -94.931264 29.328734, -94.909814 29.31184699999999, -94.904165 29.304329000000003, -94.867159 29.28608900000001, -94.86337 29.285250999999985, -94.84906 29.288614000000027, -94.83492800000002 29.288737000000015, -94.787378 29.301199000000004, -94.785586 29.29595000000002, -94.783122 29.29613400000001)"
deerPark,medicalCenter,"LINESTRING (-95.11678 29.689660000000007, -95.123438 29.68953999999998, -95.123964 29.711716000000013, -95.19093 29.713045, -95.22215 29.710016999999986, -95.228816 29.70750499999999, -95.244866 29.706032000000008, -95.267123 29.709380999999997, -95.283183 29.699239, -95.294316 29.69572399999999, -95.312821 29.69719400000001, -95.322827 29.693664999999985, -95.352332 29.70295, -95.375523 29.701959000000002, -95.386963 29.706580999999996, -95.39011 29.706033000000016, -95.390685 29.709034999999997, -95.393166 29.71178300000001)"
portArthur,beaumont,"LINESTRING (-93.929494 29.899396000000014, -94.006348 29.954628, -94.017496 29.96464199999999, -94.027805 29.978474999999985, -94.047432 30.01452600000001, -94.054259 30.024409000000006, -94.056896 30.031819000000006, -94.062774 30.033775000000013, -94.110679 30.083917000000003, -94.110819 30.085980999999997, -94.10135 30.086139000000006)"
houston,austin,"LINESTRING (-95.36952 29.760779999999993, -95.365127 29.770969000000008, -95.37446 29.778951999999997, -95.462699 29.78448299999999, -95.982144 29.782739000000003, -96.043411 29.769834000000003, -96.12232 29.775790000000026, -96.168463 29.760103999999977, -96.284821 29.750775000000004, -96.493907 29.712218999999987, -96.541666 29.692140000000006, -96.570999 29.694078000000005, -96.58527 29.73615199999999, -96.777257 29.898671999999976, -96.817164 29.900248999999988, -96.868601 29.92339100000001, -96.912892 29.906085000000008, -96.987056 29.93662000000001, -97.068526 29.943864, -97.175473 30.043593999999995, -97.254003 30.090166000000007, -97.294294 30.105058000000017, -97.413046 30.111516000000012, -97.545409 30.184769999999986, -97.615273 30.186806000000004, -97.680175 30.224360999999995, -97.692526 30.250806000000008, -97.742987 30.26758899999999)"
deerPark,houston,"LINESTRING (-95.11678 29.689660000000007, -95.123438 29.68953999999998, -95.123964 29.711716000000013, -95.19093 29.713045, -95.22215 29.710016999999986, -95.228816 29.70750499999999, -95.244866 29.706032000000008, -95.267123 29.709380999999997, -95.283183 29.699239, -95.289123 29.698253000000005, -95.358333 29.742686999999997, -95.373008 29.750573000000003, -95.374511 29.752880000000008, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.369007 29.762060000000016, -95.36952 29.760779999999993)"
laPorte,sanJacinto,"LINESTRING (-95.02454 29.65249, -95.030507 29.652386999999987, -95.02987 29.63690399999999, -95.034413 29.622824000000012, -95.022211 29.54537600000001, -94.969967 29.45473499999997, -94.95858000000001 29.410777999999993, -94.951496 29.399323000000017, -94.951046 29.377645999999995, -94.947176 29.360937000000035, -94.940974 29.345748000000007, -94.93187 29.337177999999994, -94.931264 29.328734, -94.909814 29.31184699999999, -94.904165 29.304329000000003, -94.865519 29.285572999999992, -94.83492800000002 29.288737000000015, -94.787378 29.301199000000004, -94.785586 29.29595000000002, -94.783122 29.29613400000001)"
sanJacinto,deerPark,"LINESTRING (-94.783122 29.29613400000001, -94.792118 29.293303000000005, -94.794252 29.299607000000027, -94.86594 29.285842000000006, -94.90361 29.304181000000007, -94.930024 29.328508000000006, -94.947176 29.360937000000035, -94.951331 29.399222000000012, -94.970993 29.457773000000017, -95.022016 29.544928000000002, -95.02848 29.58816600000001, -95.05617 29.59283999999998, -95.098652 29.625560000000007, -95.12466 29.654046000000026, -95.123438 29.68953999999998, -95.11678 29.689660000000007)"
sanAntonio,waco,"LINESTRING (-98.494636 29.424580999999986, -98.414418 29.454691999999998, -98.38673 29.535439, -98.095156 29.698795000000004, -97.90226 29.904521, -97.674257 30.380681999999993, -97.691649 30.63126500000001, -97.615382 30.805771000000014, -97.466502 31.046531000000005, -97.333521 31.129633000000002, -97.129695 31.533943999999984, -97.149504 31.571826)"
sanAntonio,sonora,"LINESTRING (-98.494636 29.424580999999986, -98.514526 29.442958000000004, -98.517401 29.47473400000001, -98.544326 29.487740999999986, -98.556829 29.525776000000004, -98.584868 29.549845000000015, -98.613455 29.634974, -98.663993 29.71751700000002, -98.748622 29.78841200000001, -98.755117 29.819900999999987, -98.789105 29.86564100000002, -98.825495 29.910961000000004, -98.884063 29.952659, -98.896538 29.976601999999993, -99.011057 30.05267399999999, -99.057228 30.06784600000002, -99.13568300000001 30.074453999999985, -99.226337 30.130923, -99.24356100000001 30.164748999999986, -99.379979 30.20430400000001, -99.54344900000001 30.299356000000003, -99.568891 30.317711999999997, -99.625338 30.398233, -99.658088 30.405447000000002, -99.710176 30.43589900000002, -99.740475 30.487383, -99.778908 30.510950999999974, -99.852661 30.528028, -99.900157 30.51863600000002, -99.930971 30.500024000000003, -100.012698 30.49686799999998, -100.211101 30.443642999999998, -100.272926 30.45626299999999, -100.521332 30.563182999999984, -100.581748 30.573096000000003, -100.636217 30.559757999999984, -100.644136 30.56729600000001)"
